TransactionId,CardId,TransactionAmount,MerchantCategory,TransactionHour,DistanceFromHome,IsOnline,IsInternational,PreviousFraudFlag,AvgTransactionAmount30d,TransactionCount24h,DeviceType,IsFraud
TXN-0000001,CARD-9112,2090.98,Restaurant,8,98.7,0,0,0,51.31,1,Mobile,0
TXN-0000002,CARD-8210,796.9,Gas,16,229,1,0,0,40.09,4,Desktop,0
TXN-0000003,CARD-5568,1155.11,Grocery,4,23.7,1,0,0,329.59,10,ATM,0
TXN-0000004,CARD-4213,2039.97,Travel,7,126.8,0,0,0,265.64,8,POS,0
TXN-0000005,CARD-1267,2063.78,Healthcare,0,454,1,0,0,335.12,11,POS,0
TXN-0000006,CARD-7148,272.88,OnlineRetail,16,109.5,0,0,0,382.3,6,POS,0
TXN-0000007,CARD-5831,1400.1,OnlineRetail,16,65.2,0,0,0,53.54,4,ATM,0
TXN-0000008,CARD-3362,2147.07,Healthcare,16,51.7,0,0,0,304.83,4,Mobile,0
TXN-0000009,CARD-5908,1963.38,Travel,15,283.5,0,0,0,228.24,11,POS,0
TXN-0000010,CARD-2059,596.79,Restaurant,3,427.7,0,0,0,377.1,11,POS,0
TXN-0000011,CARD-5602,1514.27,Gas,12,178.8,0,0,0,256.46,2,POS,0
TXN-0000012,CARD-6390,1897.14,Grocery,0,140.7,0,0,0,135.53,9,,0
TXN-0000013,CARD-1595,1390.8,Grocery,17,85.2,1,0,0,216.89,5,POS,0
TXN-0000014,CARD-6707,1023.08,Grocery,8,418.1,1,0,0,375.2,15,ATM,0
TXN-0000015,CARD-2915,690.84,Gas,23,218.5,1,0,0,391.66,1,ATM,0
TXN-0000016,CARD-8749,1900.76,OnlineRetail,4,4.3,1,0,0,80.33,3,Mobile,0
TXN-0000017,CARD-4173,2119.02,Grocery,0,121.7,1,1,0,352.03,13,Desktop,1
TXN-0000018,CARD-1027,428.53,Grocery,9,342.8,0,0,0,358.2,5,Desktop,0
TXN-0000019,CARD-9485,2250.28,Grocery,1,12.4,1,1,0,319.68,10,,0
TXN-0000020,CARD-4050,2226.44,Healthcare,1,19.8,1,0,0,160.93,13,Desktop,0
TXN-0000021,CARD-6039,766.99,Restaurant,9,95.1,0,0,0,75.67,10,POS,0
TXN-0000022,CARD-8429,1444.16,Restaurant,21,133.1,1,1,0,181.06,13,ATM,0
TXN-0000023,CARD-3116,2267.73,Entertainment,9,,0,0,0,354.62,2,POS,0
TXN-0000024,CARD-6174,981.4,Restaurant,9,326.7,1,0,0,155.85,11,Mobile,0
TXN-0000025,CARD-5277,1880.24,Grocery,22,,0,0,0,321.2,14,Mobile,0
TXN-0000026,CARD-1877,1543.75,Grocery,14,494.8,0,0,0,317.85,12,Mobile,0
TXN-0000027,CARD-2071,743.55,Grocery,22,368.4,1,0,1,177.43,6,Mobile,0
TXN-0000028,CARD-6829,2056.37,Restaurant,20,222.2,1,0,0,207.17,3,Desktop,0
TXN-0000029,CARD-5481,2040.56,Grocery,13,115,0,0,0,188.55,1,POS,0
TXN-0000030,CARD-4298,2411.09,Electronics,22,221.4,0,0,0,338.54,12,Desktop,0
TXN-0000031,CARD-3668,996.66,Travel,17,193,0,0,0,140.06,9,Mobile,0
TXN-0000032,CARD-6806,1790.24,Gas,19,11.7,1,0,0,82.88,1,,1
TXN-0000033,CARD-8535,476.6,Travel,8,126.5,1,0,0,165.17,7,Desktop,0
TXN-0000034,CARD-3991,1923.86,Restaurant,19,348,1,0,0,24.85,6,Desktop,0
TXN-0000035,CARD-2120,1670.46,Grocery,15,473.3,1,0,0,206.78,2,Desktop,1
TXN-0000036,CARD-6153,2273.84,Travel,3,467.1,1,0,0,267.94,2,,0
TXN-0000037,CARD-1209,427.81,Healthcare,20,247.6,1,1,0,224.17,8,POS,0
TXN-0000038,CARD-8772,2346.48,Grocery,23,134.8,1,0,0,370.95,9,Mobile,0
TXN-0000039,CARD-3666,84.45,OnlineRetail,1,146.2,1,0,0,382.41,2,,0
TXN-0000040,CARD-4661,1165.61,Healthcare,22,,1,0,0,78.36,10,Desktop,0
TXN-0000041,CARD-3935,206.52,Restaurant,7,423.6,1,0,0,23.64,1,Desktop,0
TXN-0000042,CARD-2837,987.34,Travel,3,286,1,0,0,126.67,3,POS,0
TXN-0000043,CARD-7038,1988.47,Restaurant,1,151.5,1,0,0,398.07,7,ATM,0
