CustomerId,TenureMonths,MonthlyCharges,TotalCharges,ContractType,PaymentMethod,InternetService,OnlineSecurity,TechSupport,StreamingTV,SeniorCitizen,Partner,Dependents,NumSupportTickets,LastContactDate,IsChurned
CUST-00001,26,61.83,1425.86,Two year,Bank transfer,Fiber optic,No internet service,No internet service,No,0,1,1,12,2024-06-08,0
CUST-00002,57,58.08,3399.91,Two year,Electronic check,Fiber optic,Yes,No internet service,Yes,0,1,0,7,2025-06-12,1
CUST-00003,7,92.49,557.6,Month-to-month,Credit card,Fiber optic,No internet service,Yes,No,0,1,1,8,2025-05-26,1
CUST-00004,63,90.87,5021.46,Month-to-month,Electronic check,DSL,No internet service,No internet service,Yes,0,0,0,3,2024-02-27,1
CUST-00005,59,73.06,4544.42,One year,Bank transfer,None,No,No internet service,Yes,0,0,1,1,2024-07-26,0
CUST-00006,62,57.55,3797.29,One year,Electronic check,DSL,Yes,No internet service,Yes,0,1,1,0,2025-03-29,0
CUST-00007,10,36.84,338.1,Month-to-month,Electronic check,None,No internet service,Yes,Yes,0,1,0,3,2024-07-18,1
CUST-00008,26,94.07,2752.8,One year,Electronic check,DSL,No,Yes,Yes,0,1,0,3,2023-01-21,0
CUST-00009,22,58.44,1288.46,One year,Credit card,DSL,No internet service,Yes,Yes,1,1,0,6,2025-11-19,0
CUST-00010,60,104.1,6788.4,Two year,Credit card,None,Yes,No internet service,Yes,0,0,1,12,2023-07-17,0
CUST-00011,71,110.98,7374.1,Two year,Credit card,DSL,No,Yes,Yes,0,0,0,3,2023-07-28,0
CUST-00012,53,93.29,4707.85,Month-to-month,Electronic check,None,No,No internet service,Yes,0,0,0,11,2024-01-24,1
CUST-00013,14,46.32,622.35,One year,Mailed check,Fiber optic,No internet service,No internet service,No,1,1,1,0,2025-03-18,0
CUST-00014,44,45.2,1877.49,One year,Bank transfer,Fiber optic,Yes,Yes,Yes,0,1,1,6,2024-05-15,0
CUST-00015,27,39.37,1162.77,Month-to-month,Bank transfer,DSL,No internet service,Yes,Yes,0,1,1,11,2025-12-14,1
CUST-00016,72,78.91,5068.5,Two year,Credit card,None,No,No internet service,Yes,0,1,1,9,2024-02-06,1
CUST-00017,11,42.84,420.37,Month-to-month,Mailed check,DSL,No,Yes,Yes,0,0,0,1,2023-03-08,0
CUST-00018,27,96.48,2959.92,Month-to-month,Bank transfer,Fiber optic,No internet service,Yes,No,0,1,1,5,2024-01-20,1
CUST-00019,19,98.13,1602.87,Month-to-month,Credit card,Fiber optic,Yes,Yes,No,0,0,0,7,2025-06-22,1
CUST-00020,21,42.31,764.09,Two year,Bank transfer,None,Yes,No internet service,No,1,1,1,9,2025-08-09,0
CUST-00021,20,66.16,1212.28,Two year,Electronic check,DSL,Yes,No,No,1,1,1,11,2023-12-08,0
CUST-00022,7,49.22,338.13,One year,Mailed check,Fiber optic,No internet service,No internet service,No,1,0,0,11,2025-11-11,0
CUST-00023,41,25.17,881,Month-to-month,Electronic check,DSL,No,No internet service,Yes,0,0,0,8,2024-10-16,0
CUST-00024,65,27.91,1670.57,One year,Mailed check,DSL,No,Yes,Yes,0,0,0,1,2024-02-20,0
CUST-00025,67,27.73,2114.96,Two year,Bank transfer,DSL,No internet service,No internet service,No,1,1,1,10,2025-12-02,0
CUST-00026,49,53.57,2925.44,One year,Bank transfer,DSL,No internet service,Yes,No,0,0,0,8,2024-05-12,0
CUST-00027,28,38.42,1160.77,One year,Credit card,DSL,Yes,No internet service,Yes,0,1,0,12,2025-07-01,0
CUST-00028,29,93.48,2474.01,One year,Bank transfer,Fiber optic,No,Yes,Yes,0,0,1,2,2025-06-02,0
CUST-00029,62,85.44,6090.52,One year,Credit card,DSL,Yes,No internet service,Yes,0,0,0,11,2025-07-05,1
CUST-00030,49,40.67,2161.32,One year,Electronic check,Fiber optic,No internet service,No,No,0,1,0,4,2024-02-23,0
