EmployeeId,Age,Department,JobRole,MonthlyIncome,YearsAtCompany,YearsSincePromotion,WorkLifeBalance,JobSatisfaction,OverTime,BusinessTravel,DistanceFromHome,NumCompaniesWorked,TrainingTimesLastYear,PerformanceRating,HasLeft
EMP-00001,56,Finance,Representative,7118,14.6,3.5,3,2,0,Non-Travel,3,3,6,3,1
EMP-00002,45,Finance,Director,11263,6.6,6.2,3,4,0,Non-Travel,2,2,2,2,0
EMP-00003,58,Sales,Director,8299,1.4,8.5,2,1,0,Travel_Frequently,19,7,0,3,0
EMP-00004,57,Research,Analyst,13413,10.5,3.5,3,3,1,Travel_Rarely,9,0,4,3,0
EMP-00005,33,Finance,Manager,7196,9.9,0.1,1,1,0,Non-Travel,3,2,5,4,1
EMP-00006,35,Research,Technician,6571,13.9,2.1,2,3,0,Non-Travel,6,5,5,3,0
EMP-00007,50,Research,Director,10028,3.6,8.5,2,3,0,Non-Travel,6,9,4,4,0
EMP-00008,32,HR,Manager,7507,5,0.8,2,2,0,Travel_Frequently,29,5,2,3,1
EMP-00009,60,Operations,Technician,5236,10.9,8.3,3,3,0,Travel_Rarely,16,8,2,4,0
EMP-00010,49,IT,Director,12590,7.3,1,2,2,1,Non-Travel,16,7,3,3,1
EMP-00011,52,Research,Representative,13802,5.5,9,1,4,0,Travel_Frequently,1,8,1,3,0
EMP-00012,38,Research,Technician,14271,5,6.8,1,4,0,Non-Travel,21,2,1,4,1
EMP-00013,54,IT,Manager,3458,5,7.8,1,2,0,Non-Travel,12,6,5,4,1
EMP-00014,39,IT,Director,6282,2,2.1,3,1,0,Non-Travel,21,4,0,3,0
EMP-00015,57,Finance,Technician,8302,7.3,4.8,1,4,0,Travel_Rarely,29,8,2,4,0
EMP-00016,52,Finance,Engineer,11284,12.8,7.8,3,4,0,Travel_Rarely,14,9,5,3,0
EMP-00017,27,HR,Representative,5446,1.4,7.7,1,3,1,Non-Travel,8,0,2,4,1
EMP-00018,25,IT,Director,8831,6.4,5.8,3,1,0,Travel_Frequently,9,6,4,2,0
EMP-00019,40,IT,Manager,12113,0.8,2.6,2,4,1,Travel_Rarely,7,3,0,3,0
EMP-00020,23,Finance,Technician,4916,1.7,8.6,3,3,1,Non-Travel,17,3,6,3,1
EMP-00021,57,Research,Analyst,8070,11.5,8.9,1,3,0,Travel_Rarely,29,0,0,3,0
EMP-00022,24,Operations,Technician,7356,9.8,1.8,3,1,1,Travel_Rarely,15,9,5,3,1
EMP-00023,50,Operations,Technician,7466,6.4,7.2,3,4,1,Travel_Frequently,8,2,2,4,1
EMP-00024,23,HR,Analyst,8034,1.3,4.6,1,1,0,Non-Travel,30,3,6,4,0
EMP-00025,49,Sales,Director,7954,10.1,6.1,2,3,0,Non-Travel,18,5,5,3,0
EMP-00026,56,Operations,Technician,9574,5.8,0.9,2,2,0,Non-Travel,30,5,6,3,1
EMP-00027,52,Research,Representative,5846,15,6.7,1,3,0,Travel_Rarely,10,0,3,2,0
EMP-00028,56,Finance,Representative,3915,0.9,5.3,4,2,0,Travel_Rarely,18,7,1,3,1
EMP-00029,25,Sales,Engineer,11267,4.5,9.7,4,2,1,Non-Travel,14,9,6,4,1
EMP-00030,46,Research,Technician,13797,11.9,3.9,4,3,0,Travel_Rarely,1,6,3,3,0
EMP-00031,52,Finance,Analyst,14296,8.9,4.4,4,3,0,Travel_Rarely,29,3,3,2,1
EMP-00032,22,Finance,Technician,14040,8.8,8.4,1,3,0,Travel_Rarely,25,6,4,4,0
EMP-00033,27,IT,Engineer,2775,13.6,3.5,3,4,0,Non-Travel,21,8,3,3,1
EMP-00034,22,HR,Analyst,14706,6.1,3.1,2,4,0,Travel_Rarely,22,3,5,3,0
EMP-00035,34,Sales,Technician,8537,10.6,4.3,4,1,0,Non-Travel,3,8,0,4,0
EMP-00036,29,Sales,Manager,2886,12.3,4.2,2,4,0,Travel_Rarely,15,4,3,4,0
EMP-00037,29,Research,Manager,3371,9.9,3.3,2,3,0,Travel_Frequently,12,2,1,2,0
EMP-00038,34,Finance,Technician,7276,10.1,0.7,1,2,0,Travel_Rarely,18,0,2,2,0
EMP-00039,26,HR,Representative,5031,5.7,1.9,3,4,0,Travel_Rarely,25,1,0,4,0
EMP-00040,24,HR,Manager,11161,11.1,0.9,1,3,0,Travel_Frequently,14,6,6,3,0
EMP-00041,57,Finance,Representative,5650,2.4,8.6,2,2,0,Non-Travel,14,5,1,3,0
EMP-00042,40,Research,Technician,14794,9.4,2.9,4,1,0,Travel_Frequently,28,1,4,4,1
EMP-00043,28,Research,Representative,3403,7.3,3.1,3,4,1,Travel_Frequently,2,7,1,3,1
EMP-00044,47,IT,Representative,5940,7.2,2.1,2,1,1,Non-Travel,27,7,6,3,1
EMP-00045,48,HR,Analyst,7746,14.4,9.3,2,3,0,Travel_Frequently,11,2,6,3,0
EMP-00046,59,HR,Analyst,14130,5.6,4.9,2,3,0,Non-Travel,27,2,1,3,1
EMP-00047,32,Research,Analyst,6248,5.2,6.6,1,1,0,Travel_Frequently,27,9,5,4,0
EMP-00048,41,IT,Analyst,8437,3.2,8.8,3,1,0,Travel_Rarely,20,2,5,3,0
EMP-00049,59,IT,Analyst,14953,2.6,2.1,1,2,1,Travel_Rarely,17,6,6,3,0
EMP-00050,53,IT,Representative,9758,14.7,2.8,2,4,0,Travel_Frequently,15,1,0,3,0
EMP-00051,51,IT,Manager,13645,2.4,6.7,1,4,0,Travel_Frequently,22,5,4,2,0
EMP-00052,46,IT,Manager,10011,14.7,1.2,4,2,1,Non-Travel,17,0,5,3,0
EMP-00053,57,Research,Director,12780,2.8,1.6,4,2,0,Non-Travel,17,5,3,3,0
EMP-00054,22,HR,Technician,10973,9.5,4.2,3,2,0,Travel_Frequently,27,6,3,2,0
EMP-00055,30,Research,Analyst,10228,4.4,5.7,4,1,0,Travel_Rarely,25,5,2,3,0
EMP-00056,57,Operations,Manager,3574,13,3.5,4,2,0,Travel_Frequently,6,2,5,3,1
EMP-00057,32,IT,Technician,13654,6.3,0.1,2,4,0,Non-Travel,30,6,5,4,0
EMP-00058,57,Sales,Representative,13927,10.9,6.4,2,3,1,Travel_Frequently,24,2,6,2,1
EMP-00059,46,Sales,Technician,8831,13.5,3.4,4,4,0,Travel_Rarely,4,1,6,3,0
EMP-00060,58,IT,Manager,14142,14.7,9.8,3,2,0,Non-Travel,30,1,3,4,1
EMP-00061,22,Sales,Director,6592,14.5,8,4,3,0,Travel_Rarely,16,8,2,4,1
EMP-00062,58,Research,Technician,2536,8.4,1.6,1,3,0,Travel_Frequently,13,1,3,3,0
EMP-00063,54,HR,Representative,4993,9.5,3,1,2,1,Travel_Rarely,6,4,5,4,1
EMP-00064,46,Research,Manager,9716,1.3,9.8,3,4,0,Travel_Frequently,1,9,0,3,0
EMP-00065,50,HR,Manager,4855,3.5,3.1,1,4,0,Travel_Frequently,2,3,4,3,0
EMP-00066,60,IT,Manager,9114,6.9,7.5,4,2,0,Travel_Frequently,24,0,0,2,0
EMP-00067,51,HR,Technician,3721,8.4,8.5,1,3,0,Non-Travel,1,7,0,2,0
EMP-00068,25,IT,Analyst,7798,4.6,6.9,2,3,1,Travel_Rarely,7,6,5,3,0
EMP-00069,49,Sales,Representative,6791,11.8,9.2,4,4,0,Travel_Frequently,2,7,3,3,0
EMP-00070,58,Finance,Representative,4845,7.9,1.4,2,3,0,Travel_Rarely,26,8,3,3,0
EMP-00071,30,IT,Representative,9889,0.6,8.6,1,3,0,Travel_Frequently,2,3,3,3,1
EMP-00072,51,Sales,Technician,13137,10.4,1.2,1,3,1,Non-Travel,16,4,0,3,1
