ClaimId,PolicyHolderAge,PolicyTenureYears,ClaimAmount,IncidentHour,IncidentType,VehicleAge,NumPreviousClaims,PoliceReportFiled,WitnessPresent,AgentId,ClaimDescription,SubmissionDelayDays,IsFraudulent
CLM-000001,47,2.7,24514,3,Vandalism,,5,0,0,AGT-713,Hail damage to roof and hood,7,0
CLM-000002,29,6.4,76991,9,Fire,17,0,0,1,AGT-226,Hail damage to roof and hood,3,0
CLM-000003,71,2.9,67633,2,Weather,18,4,0,1,AGT-565,Rear-end collision on highway,10,1
CLM-000004,34,14.2,47185,14,Fire,7,4,0,1,AGT-511,Break-in damage to driver door,14,1
CLM-000005,48,8.2,13316,23,Fire,17,2,0,1,AGT-930,Rear-end collision on highway,18,1
CLM-000006,75,12,55568,23,Theft,2,4,1,1,AGT-679,Hail damage to roof and hood,15,0
CLM-000007,44,14,17981,18,Medical,12,1,1,1,AGT-105,Rear-end collision on highway,1,1
CLM-000008,71,6.8,60169,3,Theft,18,3,0,1,AGT-519,Vehicle stolen from parking lot,36,0
CLM-000009,42,14.9,58004,11,Collision,14,0,1,0,AGT-527,Rear-end collision on highway,0,0
CLM-000010,72,9.6,57209,15,Theft,11,1,1,0,AGT-789,Single vehicle skid on wet road,2,0
CLM-000011,66,12.4,35807,12,Vandalism,11,3,1,1,AGT-557,Hail damage to roof and hood,43,0
CLM-000012,48,5.2,79992,1,Collision,15,0,0,0,AGT-679,Vehicle stolen from parking lot,32,1
CLM-000013,46,15.7,64397,16,Theft,16,4,1,1,AGT-511,Hail damage to roof and hood,17,1
CLM-000014,27,14,61720,7,Medical,8,1,1,0,AGT-654,Single vehicle skid on wet road,2,0
CLM-000015,52,3.7,48821,18,Medical,0,5,1,0,AGT-281,Hail damage to roof and hood,1,0
CLM-000016,33,12.9,78022,9,Weather,17,5,0,0,AGT-823,Vehicle stolen from parking lot,10,1
CLM-000017,35,4.8,20290,5,Vandalism,12,2,1,1,AGT-940,Break-in damage to driver door,10,0
CLM-000018,57,5.7,65261,14,Medical,17,1,1,1,AGT-728,Break-in damage to driver door,0,1
CLM-000019,75,5.4,21987,10,Theft,11,3,0,1,AGT-215,Single vehicle skid on wet road,28,1
CLM-000020,32,10.4,13898,2,Fire,7,5,1,1,AGT-551,Hail damage to roof and hood,23,0
CLM-000021,25,7.3,11130,0,Weather,0,2,0,1,AGT-899,Hail damage to roof and hood,40,1
CLM-000022,52,14.2,53352,6,Weather,13,5,0,1,AGT-229,Vehicle stolen from parking lot,0,0
CLM-000023,71,13.3,83341,8,Fire,12,2,1,0,AGT-743,Break-in damage to driver door,43,0
CLM-000024,74,3.7,62853,3,Theft,11,1,1,1,AGT-791,Break-in damage to driver door,43,0
CLM-000025,78,13.8,82111,8,Fire,6,0,0,0,AGT-685,Rear-end collision on highway,39,0
CLM-000026,29,3.9,862,0,Fire,11,0,1,1,AGT-799,,41,0
CLM-000027,35,8.5,24675,12,Collision,0,4,0,0,AGT-814,Hail damage to roof and hood,38,0
CLM-000028,59,15,40241,1,Theft,11,1,0,0,AGT-730,Hail damage to roof and hood,17,0
CLM-000029,29,2.4,75591,9,Vandalism,7,1,1,0,AGT-456,Vehicle stolen from parking lot,30,1
CLM-000030,43,6,49696,23,Vandalism,16,4,0,0,AGT-777,Single vehicle skid on wet road,20,0
CLM-000031,41,17.9,78508,12,Weather,9,3,1,0,AGT-909,Single vehicle skid on wet road,3,1
CLM-000032,32,13,6493,18,Vandalism,8,5,1,1,AGT-869,Single vehicle skid on wet road,11,0
CLM-000033,27,14.4,40857,1,Vandalism,7,5,1,1,AGT-165,Hail damage to roof and hood,11,1
CLM-000034,53,18.9,80813,8,Vandalism,11,3,1,1,AGT-942,Break-in damage to driver door,25,1
CLM-000035,77,12.7,48312,16,Collision,6,1,1,0,AGT-926,Vehicle stolen from parking lot,21,1
CLM-000036,30,9.3,67064,6,Vandalism,7,3,1,0,AGT-331,Vehicle stolen from parking lot,33,0
CLM-000037,31,10.5,25566,3,Fire,16,2,0,1,AGT-400,Vehicle stolen from parking lot,5,0
CLM-000038,33,19.2,25146,3,Theft,13,5,1,0,AGT-359,Break-in damage to driver door,26,1
CLM-000039,54,18.8,22196,3,Weather,0,1,1,1,AGT-665,,45,1
CLM-000040,46,1.6,56787,15,Weather,3,4,0,0,AGT-480,Break-in damage to driver door,38,0
CLM-000041,74,18.2,6338,13,Medical,17,4,1,1,AGT-175,Single vehicle skid on wet road,3,0
CLM-000042,76,3.2,2373,0,Theft,15,5,1,1,AGT-938,,44,0
CLM-000043,25,14.4,23902,0,Medical,17,2,0,1,AGT-981,Vehicle stolen from parking lot,0,0
CLM-000044,34,9.7,57793,16,Vandalism,16,5,1,0,AGT-776,Vehicle stolen from parking lot,18,0
CLM-000045,73,5.1,10313,22,Collision,5,5,1,0,AGT-766,Break-in damage to driver door,6,0
CLM-000046,27,2.6,51856,12,Collision,4,2,1,1,AGT-492,Single vehicle skid on wet road,33,0
CLM-000047,78,8.3,45877,20,Weather,1,3,1,0,AGT-605,Break-in damage to driver door,38,1
CLM-000048,32,13.9,30939,0,Medical,12,3,1,0,AGT-104,Break-in damage to driver door,15,0
CLM-000049,55,9,11661,15,Collision,18,2,1,0,AGT-869,,30,0
CLM-000050,78,6.5,29674,4,Fire,3,2,1,0,AGT-614,,29,0
CLM-000051,63,5,38959,22,Collision,15,5,1,1,AGT-830,,13,0
CLM-000052,40,16.2,24906,9,Fire,5,3,1,1,AGT-501,Vehicle stolen from parking lot,8,1
CLM-000053,37,2.5,17031,17,Medical,16,2,1,0,AGT-665,Hail damage to roof and hood,3,0
CLM-000054,65,4.3,43502,5,Medical,7,2,1,0,AGT-595,Single vehicle skid on wet road,15,1
CLM-000055,53,17.5,27866,16,Collision,5,5,1,0,AGT-552,,25,0
CLM-000056,45,5.7,37574,6,Theft,14,5,0,1,AGT-841,Single vehicle skid on wet road,23,1
CLM-000057,31,10.7,74266,0,Fire,15,2,1,0,AGT-641,Break-in damage to driver door,30,0
CLM-000058,24,5.6,1485,8,Collision,9,0,1,1,AGT-472,Vehicle stolen from parking lot,8,0
CLM-000059,35,19.6,58646,11,Fire,1,2,0,0,AGT-740,Vehicle stolen from parking lot,23,1
CLM-000060,37,1.1,27340,22,Theft,18,5,1,1,AGT-940,Single vehicle skid on wet road,15,1
CLM-000061,57,19.3,73598,0,Weather,4,0,1,1,AGT-232,Break-in damage to driver door,41,0
CLM-000062,39,18.4,3773,19,Fire,17,5,0,0,AGT-785,Rear-end collision on highway,44,1
CLM-000063,29,4.5,44346,18,Fire,5,4,1,0,AGT-372,Break-in damage to driver door,21,0
CLM-000064,56,15.4,39079,12,Weather,10,0,1,0,AGT-429,Single vehicle skid on wet road,11,0
CLM-000065,55,7.8,36395,18,Fire,5,0,1,0,AGT-248,Break-in damage to driver door,43,1
