CustomerId,RecencyDays,Frequency,MonetaryTotal,AvgOrderValue,NumReturns,EmailOpenRate,LoyaltyPoints,PreferredChannel,SegmentLabel
CUST-00001,362,46,2843.93,329.3,7,0.07,43959,InStore,LoyalRegular
CUST-00002,241,51,22021.87,92.42,6,0.1,35510,MobileApp,HighValue
CUST-00003,163,30,9371.32,65.46,6,0.07,42645,Online,LoyalRegular
CUST-00004,47,44,17364.4,327.74,8,0.15,41705,Phone,HighValue
CUST-00005,138,56,20853.01,127.21,8,0.24,41376,MobileApp,NewCustomer
CUST-00006,337,55,18043.84,81.23,2,0.65,14257,MobileApp,HighValue
CUST-00007,93,52,2973.72,167.11,3,0.25,38515,InStore,LoyalRegular
CUST-00008,326,47,17758.89,274.33,2,0.25,32505,MobileApp,HighValue
CUST-00009,297,13,11406.92,126.56,4,0.49,33221,InStore,AtRisk
CUST-00010,196,49,823.5,290.74,7,0.5,28791,Online,LoyalRegular
CUST-00011,120,43,870.53,218.26,6,0.5,12379,Phone,LoyalRegular
CUST-00012,268,50,17537.08,88.7,0,0.48,27765,MobileApp,HighValue
CUST-00013,265,35,8485.42,283.57,7,0.13,23500,Online,LoyalRegular
CUST-00014,120,6,4554.15,380.38,1,0.52,37366,Online,AtRisk
CUST-00015,42,12,8853.38,328.05,2,0.28,9338,MobileApp,LoyalRegular
CUST-00016,129,28,14887.89,200.15,1,0.42,25637,MobileApp,HighValue
CUST-00017,130,26,12207.24,112.94,6,0.25,23374,MobileApp,HighValue
CUST-00018,34,36,830.31,62.44,7,0.59,43248,Phone,LoyalRegular
CUST-00019,151,5,14172.95,390.57,7,0.2,16758,Online,AtRisk
CUST-00020,5,55,12338.47,31.06,1,0.4,17768,MobileApp,HighValue
CUST-00021,27,9,5397.21,448.53,4,0.24,8331,InStore,AtRisk
CUST-00022,21,15,15060.54,172.01,1,0.31,10601,MobileApp,AtRisk
CUST-00023,354,37,15935.34,415.67,1,0.27,8287,Phone,HighValue
CUST-00024,234,51,695.56,188.64,0,0.27,22967,Online,LoyalRegular
CUST-00025,326,6,10002.16,102.15,3,0.17,33605,Phone,AtRisk
CUST-00026,95,36,397.88,374.1,7,0.16,45029,InStore,BargainHunter
CUST-00027,280,58,24392.04,225.13,8,0.33,36165,Online,HighValue
CUST-00028,149,12,23272.74,361.38,7,0.16,17323,MobileApp,AtRisk
CUST-00029,185,50,11062.46,151.85,4,0.17,23236,MobileApp,HighValue
CUST-00030,266,27,650.85,355.11,0,0.08,653,Online,LoyalRegular
CUST-00031,104,8,23765.65,362.76,2,0.62,41173,InStore,AtRisk
CUST-00032,172,13,7782.48,458.05,2,0.61,26532,Online,AtRisk
CUST-00033,167,14,15100.44,405.13,0,0.17,16679,Phone,BargainHunter
CUST-00034,142,4,3911.91,466.22,3,0.5,9240,Phone,LoyalRegular
CUST-00035,51,18,23269.84,226.57,3,0.43,24872,InStore,HighValue
CUST-00036,82,4,5663.82,42.05,5,0.18,4094,Phone,AtRisk
CUST-00037,126,4,4707.02,407.55,6,0.21,37209,MobileApp,AtRisk
CUST-00038,67,48,19168.84,34.97,1,0.55,33968,Online,HighValue
CUST-00039,202,14,17070.29,351.2,0,0.26,38698,Online,AtRisk
CUST-00040,226,22,4994.42,60.54,7,0.64,10344,InStore,LoyalRegular
CUST-00041,230,19,726.89,238.96,6,0.27,38065,MobileApp,AtRisk
CUST-00042,192,27,9123.32,59.32,7,0.06,24147,Phone,LoyalRegular
CUST-00043,347,18,11593.17,254.14,4,0.63,30732,Online,HighValue
CUST-00044,271,45,21827.33,252.3,1,0.33,19299,Phone,HighValue
CUST-00045,84,18,4478.13,386.56,0,0.5,3035,InStore,AtRisk
CUST-00046,260,37,12840.29,388.17,8,0.01,37884,Online,LoyalRegular
