ApplicationId,AnnualRevenue,YearsInBusiness,IndustrySector,NumEmployees,ExistingDebtRatio,CollateralValue,CreditScore,LatePayments12m,Region,RiskGrade
APP-000001,4401431,20.8,Technology,292,0.63,722292,692,2,West,C
APP-000002,2350819,4.7,Manufacturing,482,0.84,986294,623,6,South,E
APP-000003,1616764,17.5,Manufacturing,325,0.64,1239476,589,3,East,D
APP-000004,1128447,15.7,Manufacturing,166,0.81,918320,575,4,West,E
APP-000005,4472909,28.2,Healthcare,359,0.36,702988,694,6,East,E
APP-000006,2399196,5.5,Technology,4,0.15,,522,2,East,C
APP-000007,2867990,14,Agriculture,74,0.77,683780,749,2,West,D
APP-000008,1765690,14,Manufacturing,450,0.88,1087678,646,5,Central,E
APP-000009,4103337,24.8,Manufacturing,415,0.49,1381032,702,6,South,E
APP-000010,3969816,4.1,Agriculture,242,0.39,1776036,589,1,Central,D
APP-000011,4495823,9.8,Construction,360,0.11,1431798,628,1,West,C
APP-000012,4569256,17.7,Manufacturing,427,0.54,266676,635,0,North,E
APP-000013,695564,28.7,Construction,460,0.35,1109190,654,4,South,A
APP-000014,1103672,6.2,Agriculture,485,0.26,529826,741,0,East,B
APP-000015,3683018,25.8,Manufacturing,249,0.54,1803884,661,0,South,C
APP-000016,1867991,29,Healthcare,322,0.16,713638,730,0,East,B
APP-000017,2024694,23.8,Healthcare,407,0.51,1039116,684,4,South,D
APP-000018,810563,21.1,Healthcare,486,0.62,1596448,686,6,North,E
APP-000019,3784003,8,Construction,16,0.63,900562,653,5,North,E
APP-000020,4148610,4,Agriculture,62,0.6,1857690,594,3,East,D
APP-000021,2609665,15.2,Construction,140,0.51,1211594,656,0,West,C
APP-000022,418622,13.2,Construction,59,0.65,485954,708,0,East,C
APP-000023,4700936,14.1,Technology,129,0.74,874750,692,1,South,D
APP-000024,3495052,6.9,Retail,380,0.83,1998682,738,3,West,C
APP-000025,3874093,19.1,Agriculture,198,0.14,276668,665,4,East,C
APP-000026,325913,18.6,Healthcare,434,0.8,1743636,580,5,West,E
APP-000027,763572,10.2,Manufacturing,464,0.33,1523772,593,2,Central,C
