UserId,ContentId,ContentType,WatchDurationPct,PreviousEngagements,ContentAgeDays,CreatorFollowers,HasSubtitles,DeviceType,EngagementScore
USR-6307,CNT-000001,Video,77,5,181,3996015,1,TV,0.485
USR-9413,CNT-000002,Article,32,16,123,772718,0,TV,0.478
USR-7262,CNT-000003,Article,1.4,2,293,3746883,1,TV,0.143
USR-8255,CNT-000004,LiveStream,13.1,25,341,3590205,0,Tablet,0.4755
USR-6389,CNT-000005,Podcast,59.1,29,697,3060259,1,Desktop,0.5675
USR-7740,CNT-000006,Article,71.8,11,365,1339525,1,Tablet,0.557
USR-1904,CNT-000007,Podcast,54.4,20,296,1035013,1,Desktop,0.632
USR-4245,CNT-000008,Article,52.3,7,260,1163284,1,Mobile,0.6175
USR-1089,CNT-000009,Video,33.6,42,162,1711121,1,Mobile,0.714
USR-6430,CNT-000010,Podcast,55.6,27,85,1010472,0,TV,0.604
USR-8141,CNT-000011,LiveStream,34.1,24,348,144774,0,Tablet,0.5425
USR-5287,CNT-000012,LiveStream,9.6,18,7,2294844,0,Desktop,0.322
USR-6249,CNT-000013,Podcast,7.5,34,50,151021,0,Tablet,0.5595
USR-3482,CNT-000014,Article,7,7,695,4843798,1,Desktop,0.091
USR-7742,CNT-000015,Article,92.2,31,40,336158,0,Mobile,0.949
USR-2101,CNT-000016,LiveStream,27.5,37,404,4731366,0,Desktop,0.4435
USR-7364,CNT-000017,Podcast,78.9,47,213,282987,1,Tablet,1
USR-8164,CNT-000018,Video,70.2,4,725,3794556,0,Mobile,0.463
USR-4295,CNT-000019,Video,21.6,36,290,4983159,1,Desktop,0.466
USR-8884,CNT-000020,LiveStream,52.6,46,248,2632735,1,Desktop,0.891
USR-1255,CNT-000021,Video,92.6,49,477,1816541,0,Mobile,0.945
USR-4927,CNT-000022,Article,34.9,38,381,4528005,0,Desktop,0.7585
USR-1757,CNT-000023,Article,14.7,32,533,2421688,0,Tablet,0.5695
USR-8794,CNT-000024,Article,71.2,3,540,3066704,1,Mobile,0.48
USR-1418,CNT-000025,LiveStream,99.3,17,142,1195290,1,Mobile,0.6925
USR-4791,CNT-000026,Article,95.2,34,66,2122497,1,Desktop,1
USR-1488,CNT-000027,Podcast,38.7,3,2,465840,1,Mobile,0.2575
USR-1288,CNT-000028,Podcast,39.3,31,404,3942986,1,TV,0.6145
USR-2438,CNT-000029,Podcast,97,43,572,4146550,0,Tablet,0.939
USR-9240,CNT-000030,Video,16.8,10,223,2577724,0,Mobile,0.264
USR-2759,CNT-000031,Podcast,85.8,3,607,3717023,1,Desktop,0.633
USR-6687,CNT-000032,Article,89.6,3,62,3589744,0,Mobile,0.762
USR-3025,CNT-000033,Podcast,17.1,39,153,683984,0,TV,0.4775
USR-4052,CNT-000034,Podcast,77.2,3,304,927294,0,Tablet,0.57
USR-6933,CNT-000035,LiveStream,65.2,7,75,2008537,0,Mobile,0.542
USR-4250,CNT-000036,LiveStream,99.1,36,235,3623302,1,Desktop,1
USR-4216,CNT-000037,Article,42,25,414,790001,1,Tablet,0.41
USR-1274,CNT-000038,LiveStream,69.9,34,115,1778348,0,Desktop,0.7615
USR-1768,CNT-000039,LiveStream,38.5,18,167,222286,0,Desktop,0.5065
USR-2018,CNT-000040,Video,81.6,44,285,1443457,1,Desktop,0.83
USR-3849,CNT-000041,Article,13.2,7,190,4302695,0,Mobile,0.232
USR-1391,CNT-000042,Podcast,8.8,31,498,3363390,1,TV,0.542
USR-2967,CNT-000043,Video,4.6,13,429,4499893,1,Mobile,0.377
USR-1110,CNT-000044,LiveStream,27.7,42,297,2125919,1,Desktop,0.7645
USR-2140,CNT-000045,LiveStream,27.6,36,6,1007263,1,TV,0.476
USR-9133,CNT-000046,Article,45.3,27,514,390518,1,Tablet,0.5225
USR-5039,CNT-000047,LiveStream,72.6,37,667,2685785,0,Tablet,0.899
USR-5512,CNT-000048,Video,69.3,18,251,2577445,1,Desktop,0.5105
USR-2639,CNT-000049,Video,40.8,40,617,2079814,1,Tablet,0.754
USR-4054,CNT-000050,Article,97.5,19,413,1656416,1,Tablet,0.8395
USR-6086,CNT-000051,Podcast,87.4,44,630,1672797,1,Mobile,0.889
USR-3039,CNT-000052,LiveStream,94,18,101,4057158,0,TV,0.714
USR-4177,CNT-000053,Podcast,13.6,17,666,706076,0,TV,0.284
USR-7116,CNT-000054,Video,87.8,27,684,3354352,0,Mobile,0.705
USR-8917,CNT-000055,Video,57.9,37,357,1323925,1,Tablet,0.6755
USR-7606,CNT-000056,Article,15.6,35,522,2179070,1,Mobile,0.638
USR-4200,CNT-000057,Podcast,25.3,39,680,4301058,1,TV,0.6585
USR-6645,CNT-000058,Video,16.7,10,432,1067702,1,TV,0.3035
USR-4253,CNT-000059,Article,91.3,14,77,2125023,1,Mobile,0.7985
USR-9174,CNT-000060,LiveStream,52,39,109,3251613,0,TV,0.762
USR-2189,CNT-000061,LiveStream,86.9,19,460,1304945,1,TV,0.7665
USR-8407,CNT-000062,Podcast,91.2,35,185,3281786,1,Desktop,0.886
USR-2943,CNT-000063,Video,28.4,19,30,1901334,1,Mobile,0.544
USR-8750,CNT-000064,Podcast,42.5,39,175,1558764,0,Desktop,0.5345
