JobId,CandidateId,YearsExperience,EducationLevel,SkillMatchPct,InterviewScore,SalaryExpectation,ReferralSource,RemotePreference,CandidateFitScore
JOB-104,CND-00001,19.8,Bootcamp,86.3,7.9,92923,CompanySite,Onsite,1
JOB-110,CND-00002,8.3,PhD,75.9,3.3,96726,LinkedIn,Remote,0.7061
JOB-106,CND-00003,6.6,HighSchool,62.7,1.4,128657,Referral,Onsite,0.4738
JOB-111,CND-00004,9.2,HighSchool,81.6,5.3,148084,LinkedIn,Remote,0.8524
JOB-120,CND-00005,0.8,Bachelors,94.4,4.5,170165,Referral,Onsite,0.6696
JOB-102,CND-00006,14.3,Masters,41.5,4.1,54229,CompanySite,Onsite,0.6565
JOB-110,CND-00007,19.4,HighSchool,60.3,2.8,115525,JobBoard,Onsite,0.7102
JOB-119,CND-00008,12.6,Bachelors,67.5,7,163998,LinkedIn,Onsite,1
JOB-104,CND-00009,15,Bachelors,53.2,1.5,127615,Recruiter,Onsite,0.6278
JOB-116,CND-00010,12.5,HighSchool,40.2,6.5,79771,JobBoard,Onsite,0.6783
JOB-107,CND-00011,5.3,Masters,50.1,2.1,167121,JobBoard,Hybrid,0.3159
JOB-110,CND-00012,7.2,Bachelors,85.1,8.7,109102,Recruiter,Hybrid,0.8904
JOB-108,CND-00013,3.9,Bachelors,54,7.3,74256,Referral,Hybrid,0.8025
JOB-105,CND-00014,0.6,PhD,74.2,9.7,82273,JobBoard,Remote,0.7878
JOB-116,CND-00015,4.5,Bachelors,94.3,3,173756,JobBoard,Hybrid,0.7347
JOB-101,CND-00016,2.5,PhD,55,1.3,75027,Referral,Hybrid,0.3455
JOB-108,CND-00017,13.6,PhD,58.2,2.5,96868,JobBoard,Onsite,0.7268
JOB-114,CND-00018,18.6,HighSchool,91.8,2.3,171378,CompanySite,Hybrid,0.8142
JOB-102,CND-00019,17.3,Masters,75.5,2.7,85673,LinkedIn,Onsite,0.8235
JOB-116,CND-00020,6.3,Bachelors,44.1,4.2,93246,JobBoard,Remote,0.5629
