QueryId,ProductId,QueryText,ProductTitle,CategoryMatch,Price,ReviewScore,SalesRank,ClickCount30d,CartAdds30d,RelevanceScore
QRY-397,PRD-000001,organic coffee beans,TechBook 16 Laptop,0,997.12,3.7,12489,2048,29,0.9306
QRY-264,PRD-000002,organic coffee beans,TechBook 16 Laptop,1,820.03,3.7,12627,2061,578,1
QRY-589,PRD-000003,laptop 16gb ram,NovaSound Pro Headphones,1,337.76,3.9,20882,4036,594,1
QRY-626,PRD-000004,organic coffee beans,TechBook 16 Laptop,1,746.33,3.6,10955,4078,303,1
QRY-703,PRD-000005,wireless headphones,Mountain Roast Coffee,0,265.22,3.3,4794,3962,518,0.7249
QRY-341,PRD-000006,smart thermostat,TrailMax Running Shoes,0,559.76,3.7,38957,612,281,0.7344
QRY-872,PRD-000007,running shoes men,TrailMax Running Shoes,1,474.37,3.2,43614,3829,625,1
QRY-441,PRD-000008,smart thermostat,Mountain Roast Coffee,1,572.19,3.8,25764,681,103,1
QRY-154,PRD-000009,wireless headphones,Mountain Roast Coffee,0,798.47,3,12743,4377,731,0.8121
QRY-425,PRD-000010,laptop 16gb ram,NovaSound Pro Headphones,0,85.43,4.4,29593,3992,293,0.8901
QRY-660,PRD-000011,wireless headphones,EcoTherm Smart Stat,1,244.03,4.8,36213,43,310,1
QRY-584,PRD-000012,smart thermostat,TrailMax Running Shoes,1,404.67,2.9,20788,3976,783,1
QRY-981,PRD-000013,running shoes men,Mountain Roast Coffee,1,803.08,3.5,6334,2028,147,1
QRY-305,PRD-000014,running shoes men,TrailMax Running Shoes,1,175.11,3.6,1758,327,105,1
QRY-443,PRD-000015,smart thermostat,Mountain Roast Coffee,0,168.17,4.5,8203,4214,800,1
QRY-777,PRD-000016,smart thermostat,TechBook 16 Laptop,1,354.74,4.1,37631,2776,597,1
QRY-761,PRD-000017,laptop 16gb ram,NovaSound Pro Headphones,1,179.33,4.7,18906,1049,115,1
QRY-298,PRD-000018,smart thermostat,Mountain Roast Coffee,1,729.14,3.7,18914,2689,351,1
QRY-890,PRD-000019,running shoes men,TechBook 16 Laptop,1,927.44,3.5,34841,2993,593,1
QRY-316,PRD-000020,smart thermostat,EcoTherm Smart Stat,1,587.56,4.8,24962,400,742,1
QRY-986,PRD-000021,wireless headphones,TechBook 16 Laptop,0,368.04,4.5,7396,3985,100,0.935
QRY-123,PRD-000022,organic coffee beans,TrailMax Running Shoes,1,169.31,3.7,45910,969,548,1
QRY-106,PRD-000023,organic coffee beans,NovaSound Pro Headphones,1,913.18,2.6,36013,3803,167,0.969
QRY-139,PRD-000024,laptop 16gb ram,NovaSound Pro Headphones,1,320.28,3.5,2606,4052,551,1
QRY-668,PRD-000025,laptop 16gb ram,Mountain Roast Coffee,0,781.72,3.2,9730,1654,170,0.6509
QRY-477,PRD-000026,running shoes men,TechBook 16 Laptop,0,184.13,3,34893,3733,134,0.7686
QRY-606,PRD-000027,organic coffee beans,EcoTherm Smart Stat,0,159.42,2.7,8706,2921,462,0.7883
QRY-860,PRD-000028,wireless headphones,TechBook 16 Laptop,1,433.01,3.5,34381,2017,590,1
QRY-889,PRD-000029,laptop 16gb ram,NovaSound Pro Headphones,0,214.8,5,47183,4342,339,0.9719
QRY-750,PRD-000030,smart thermostat,TrailMax Running Shoes,1,951.52,3.4,31273,270,564,1
QRY-493,PRD-000031,laptop 16gb ram,Mountain Roast Coffee,0,556.66,3.7,22978,4406,423,0.7572
QRY-683,PRD-000032,running shoes men,TechBook 16 Laptop,0,453.04,5,42023,1209,794,1
QRY-878,PRD-000033,running shoes men,NovaSound Pro Headphones,0,202.51,4.7,48105,1643,54,0.9658
QRY-735,PRD-000034,organic coffee beans,NovaSound Pro Headphones,1,416.66,3.3,45613,94,299,1
QRY-720,PRD-000035,laptop 16gb ram,NovaSound Pro Headphones,1,639.66,4.6,43583,2906,192,1
QRY-281,PRD-000036,laptop 16gb ram,Mountain Roast Coffee,1,104.54,4.5,26804,4615,278,1
QRY-654,PRD-000037,wireless headphones,Mountain Roast Coffee,0,460.79,3.9,17107,4104,725,0.9557
QRY-323,PRD-000038,organic coffee beans,Mountain Roast Coffee,1,535.43,3,47305,4765,649,1
QRY-651,PRD-000039,smart thermostat,Mountain Roast Coffee,0,148.2,4.2,7877,104,461,0.9711
QRY-117,PRD-000040,organic coffee beans,TrailMax Running Shoes,1,955.1,3.9,11655,588,388,1
QRY-554,PRD-000041,smart thermostat,TechBook 16 Laptop,1,725.77,4.5,46533,1920,621,1
QRY-252,PRD-000042,organic coffee beans,TechBook 16 Laptop,1,140.92,4,21457,1115,642,1
QRY-665,PRD-000043,running shoes men,Mountain Roast Coffee,1,697.07,3.3,3766,172,578,1
QRY-426,PRD-000044,wireless headphones,TechBook 16 Laptop,1,219.16,4,17825,771,759,1
QRY-704,PRD-000045,organic coffee beans,EcoTherm Smart Stat,0,969.39,4.6,15788,2133,399,0.8765
QRY-695,PRD-000046,laptop 16gb ram,EcoTherm Smart Stat,0,179.53,2.5,14076,2156,45,0.6917
QRY-168,PRD-000047,smart thermostat,Mountain Roast Coffee,0,997.57,4.2,27649,3329,95,1
QRY-469,PRD-000048,wireless headphones,Mountain Roast Coffee,1,764.22,2.7,5661,714,281,0.9477
QRY-361,PRD-000049,running shoes men,TrailMax Running Shoes,1,366.95,3.7,16890,1187,337,1
QRY-746,PRD-000050,smart thermostat,TrailMax Running Shoes,1,929.48,4.7,31031,3180,130,1
QRY-215,PRD-000051,running shoes men,NovaSound Pro Headphones,0,809.45,3.2,30977,4538,564,0.7828
QRY-922,PRD-000052,organic coffee beans,Mountain Roast Coffee,1,260.56,5,31019,425,580,1
QRY-696,PRD-000053,running shoes men,NovaSound Pro Headphones,1,938.81,4.1,13370,2026,8,1
QRY-785,PRD-000054,running shoes men,TrailMax Running Shoes,0,758.72,2.6,30167,200,198,0.5852
QRY-148,PRD-000055,wireless headphones,Mountain Roast Coffee,0,574.84,4.1,2818,4798,757,1
QRY-914,PRD-000056,wireless headphones,NovaSound Pro Headphones,1,694.71,4.1,15715,752,707,1
QRY-708,PRD-000057,organic coffee beans,TrailMax Running Shoes,0,380.12,4.2,18632,1649,321,0.8109
QRY-425,PRD-000058,smart thermostat,Mountain Roast Coffee,0,797.18,4.4,1559,1974,157,0.9248
