SearchId,ListingId,Bedrooms,Bathrooms,Price,DaysOnMarket,PhotoCount,WalkScore,SchoolRating,VirtualTourAvailable,ClickThroughScore
SRC-8919,LST-000001,6,3.4,821757,142,23,76,3.1,1,0.714
SRC-6772,LST-000002,4,1.3,509373,178,14,36,5.5,0,0.414
SRC-1388,LST-000003,3,3.8,604872,49,29,78,8.9,1,0.632
SRC-5297,LST-000004,6,3.1,347079,46,24,35,6.2,1,0.62
SRC-3560,LST-000005,3,3.2,347466,102,23,48,5.7,0,0.652
SRC-6850,LST-000006,5,1.3,1003049,23,9,86,7,0,0.744
SRC-9854,LST-000007,4,1.4,746001,60,38,62,9,0,0.738
SRC-9809,LST-000008,5,1,781156,28,28,89,6.8,1,0.876
SRC-7400,LST-000009,5,2.2,1113613,168,32,76,3.7,0,0.754
SRC-4963,LST-000010,3,3.9,221472,166,16,55,3.5,0,0.48
SRC-2923,LST-000011,3,1,1121154,119,12,36,6.2,1,0.294
SRC-2126,LST-000012,6,3.8,853323,16,13,31,2.4,0,0.544
SRC-4936,LST-000013,5,2,197833,45,4,23,7.9,0,0.232
SRC-1012,LST-000014,4,3.2,978599,106,16,50,2.3,1,0.58
SRC-9426,LST-000015,4,2,745939,44,8,93,2.7,0,0.652
SRC-7946,LST-000016,3,2.6,488103,79,30,92,9.5,0,0.868
SRC-9048,LST-000017,1,1.4,254853,30,37,76,6.6,0,0.784
SRC-9443,LST-000018,1,2.8,480834,137,34,52,9.6,1,0.738
SRC-8525,LST-000019,1,2.7,1076125,4,17,76,8.8,1,0.694
SRC-4444,LST-000020,3,2.3,527069,128,3,64,8.7,0,0.476
SRC-6826,LST-000021,1,1.3,828132,130,30,58,7.1,1,0.562
SRC-6696,LST-000022,4,3.6,795803,24,34,55,7.3,1,0.93
SRC-5212,LST-000023,3,3.8,512119,49,34,94,3.4,1,0.846
SRC-9860,LST-000024,1,2.1,477216,10,20,71,8.8,0,0.654
SRC-6267,LST-000025,6,1.5,822187,67,4,74,9.4,0,0.416
SRC-1498,LST-000026,2,1.9,249238,42,38,53,6.2,1,0.812
SRC-8729,LST-000027,2,1.7,1075036,46,29,25,9.5,0,0.41
