TransactionId,AccountId,Timestamp,Amount,MerchantCategory,TransactionHour,DistanceFromHomeKm,IsOnline,IsInternational,BalanceAfterTransaction
TXN-0000001,ACC-4305,2024-08-23 09:39:48,61.59,Grocery,12,46.4,0,0,17191.72
TXN-0000002,ACC-6772,2025-05-10 12:37:20,60.09,Grocery,6,6.7,0,0,34963.12
TXN-0000003,ACC-9405,2025-04-27 21:13:20,7.83,Restaurant,19,23.8,0,0,13653.99
TXN-0000004,ACC-3831,2024-05-21 14:11:11,362.88,Grocery,7,45.3,0,0,49755.73
TXN-0000005,ACC-8282,2025-09-26 20:03:03,307.54,Restaurant,7,38,1,0,36174.16
TXN-0000006,ACC-7990,2024-10-25 20:23:06,421.72,Electronics,14,8.9,0,0,15636.32
TXN-0000007,ACC-5036,2025-03-04 15:56:53,223.61,Travel,19,37.4,1,0,48219.57
TXN-0000008,ACC-7020,2024-11-21 02:18:58,333.58,Online,10,40.4,1,0,20371.8
TXN-0000009,ACC-6034,2024-09-14 21:41:26,148.95,Gas,15,27.7,1,0,29823.94
TXN-0000010,ACC-4438,2025-11-07 05:24:47,264.53,Online,14,29.1,0,0,652.61
TXN-0000011,ACC-9817,2025-12-02 02:49:36,128.22,Online,12,40.8,0,0,16432.04
TXN-0000012,ACC-8495,2025-06-11 13:42:52,146.3,Gas,10,11.7,1,0,5.35
TXN-0000013,ACC-5418,2025-01-31 22:52:57,242.54,Online,19,31.8,0,0,32561.44
TXN-0000014,ACC-9116,2024-10-27 07:56:54,466.95,ATM,18,22.8,1,0,43058.88
TXN-0000015,ACC-2124,2025-05-28 07:31:21,478.5,Travel,6,32.1,0,0,25106.93
TXN-0000016,ACC-9828,2024-12-25 13:25:40,96.84,Grocery,14,31.6,0,0,38950.75
TXN-0000017,ACC-3570,2025-11-07 06:32:17,85.32,Online,7,1.1,0,0,18728.83
TXN-0000018,ACC-8277,2024-11-19 04:30:55,58.27,Travel,14,3.4,0,0,32486.04
TXN-0000019,ACC-1506,2024-09-01 19:30:53,350.46,Online,10,7.1,1,0,10571.42
TXN-0000020,ACC-9920,2025-05-09 22:47:26,268.66,Restaurant,8,28.8,0,0,34621.74
TXN-0000021,ACC-8733,2024-04-09 07:14:58,286.74,Gas,13,0.9,0,0,18536.38
TXN-0000022,ACC-7329,2024-12-05 10:51:54,170.95,Travel,10,0.3,0,0,21599.66
TXN-0000023,ACC-5267,2025-11-20 08:24:46,186.5,Restaurant,9,47.6,1,0,19219.74
TXN-0000024,ACC-2383,2024-02-23 04:28:07,103.09,Restaurant,6,20.8,0,0,16585.46
TXN-0000025,ACC-6637,2024-02-19 01:30:04,493.25,ATM,19,31.3,0,0,14243.63
TXN-0000026,ACC-1374,2024-07-31 07:53:00,474.37,Grocery,22,31.1,1,1,28346.61
TXN-0000027,ACC-7736,2025-09-29 23:49:05,488,Travel,17,11.9,1,0,29492.3
TXN-0000028,ACC-1541,2024-01-06 21:39:35,408.5,ATM,18,36.4,0,0,1742.91
TXN-0000029,ACC-4252,2025-11-30 14:48:21,70.13,Online,10,48.2,0,0,30499.37
TXN-0000030,ACC-7547,2025-08-11 23:47:51,290.88,Travel,22,26.7,1,0,30209.5
TXN-0000031,ACC-8013,2025-02-19 23:43:37,201.52,ATM,21,21,1,0,12222.62
TXN-0000032,ACC-4325,2024-05-31 02:53:35,73.64,Restaurant,22,26.4,1,0,2077.32
TXN-0000033,ACC-6992,2024-02-19 21:42:13,291.07,Grocery,14,10.3,0,0,40822.38
TXN-0000034,ACC-9578,2025-03-29 03:52:02,244.42,Grocery,22,18.2,0,0,24549.77
TXN-0000035,ACC-1179,2024-12-26 04:30:48,225.41,Travel,9,20.1,0,0,19383.97
TXN-0000036,ACC-9331,2025-01-13 20:04:25,424.22,Electronics,20,34.8,1,0,6239.83
TXN-0000037,ACC-9681,2024-09-21 14:09:17,372.75,Online,22,36.9,1,0,19817.72
TXN-0000038,ACC-4359,2024-04-02 03:43:22,43.59,Electronics,22,8.9,0,0,16235.6
TXN-0000039,ACC-5900,2025-04-15 16:15:36,110.43,Gas,11,23.3,0,0,7662.47
TXN-0000040,ACC-9919,2024-05-29 09:34:52,44.56,Restaurant,16,14.5,0,0,39612.6
TXN-0000041,ACC-6915,2024-06-15 13:16:34,228.13,ATM,8,43.9,0,0,46775.63
TXN-0000042,ACC-5635,2024-01-05 22:40:07,9.62,Online,8,13.2,0,0,10621.31
TXN-0000043,ACC-3086,2024-07-15 15:34:42,163.27,Travel,9,36.1,0,0,47231.19
TXN-0000044,ACC-6031,2024-11-14 20:22:24,214.76,Restaurant,22,44.9,0,0,35662.14
TXN-0000045,ACC-3359,2025-03-01 12:30:37,300.98,Electronics,9,3.5,1,0,46173.06
TXN-0000046,ACC-1147,2025-02-08 10:36:54,185.8,Restaurant,6,6,0,0,7605.6
TXN-0000047,ACC-8240,2025-02-20 19:25:46,302.25,Gas,8,10.9,0,0,42721.94
TXN-0000048,ACC-7213,2025-10-15 15:56:11,161.43,Electronics,6,2.1,1,0,15423
TXN-0000049,ACC-4084,2025-01-10 17:54:36,207.71,Grocery,16,28.6,0,0,2283.96
TXN-0000050,ACC-5924,2024-09-19 19:27:42,357.99,Travel,6,42,0,0,8461.17
TXN-0000051,ACC-1372,2024-12-02 17:41:53,354.03,Travel,16,40.1,0,0,3805.23
TXN-0000052,ACC-3726,2025-03-29 11:11:55,292.23,Travel,8,1.2,0,0,13066.37
TXN-0000053,ACC-1356,2025-03-02 05:19:20,278.05,Travel,18,28.6,1,0,14414.62
