BatchId,Timestamp,TemperatureC,PressureBar,VibrationHz,HumidityPct,ProductionSpeedUnitsPerMin,MaterialBatchAge,OperatorShift,MaintenanceDaysSince
BAT-000001,2024-11-01 00:48:30,74.5,5.88,35.9,58,89.7,16,Day,56
BAT-000002,2025-01-25 23:16:23,65,5.65,17.9,39,154.3,11,Night,45
BAT-000003,2024-10-29 16:52:03,78.1,4.6,36.6,47,159.2,2,Day,51
BAT-000004,2024-12-22 22:21:54,81.7,4.54,38.2,30,83.9,7,Evening,37
BAT-000005,2025-09-01 18:14:59,65.6,5.15,22.7,55,93.5,5,Day,28
BAT-000006,2024-03-06 06:51:42,70.9,4.38,25.5,50,91.1,17,Evening,50
BAT-000007,2024-10-06 16:19:02,74.5,6.02,28.1,38,126.5,23,Day,48
BAT-000008,2025-10-06 14:55:05,61.8,6.71,14.5,57,125.8,22,Evening,39
BAT-000009,2024-11-26 00:03:03,72.8,4.34,24.2,60,103.4,1,Night,47
BAT-000010,2024-10-11 23:12:49,69.4,6.91,32,42,157.1,25,Evening,40
BAT-000011,2024-04-22 20:21:07,75.5,6.66,19.5,66,195.5,11,Evening,19
BAT-000012,2024-12-17 22:39:43,65.6,4.51,24.8,62,97.6,30,Evening,51
BAT-000013,2025-04-17 10:47:12,95.2,9.4,111.7,40,112.9,6,Evening,6
BAT-000014,2024-06-26 13:37:13,61.5,5,36.1,52,163.1,25,Day,24
BAT-000015,2024-10-28 08:45:16,72.2,6.31,15.4,44,189.9,15,Day,40
BAT-000016,2025-07-22 01:42:47,80,6.8,10.9,58,107,9,Evening,15
BAT-000017,2025-08-20 19:42:08,60.6,6.76,30.6,37,171.9,23,Day,16
BAT-000018,2025-09-27 00:19:05,81.5,4.09,36.8,55,130.5,15,Evening,15
BAT-000019,2024-12-10 23:42:24,82.6,4.92,13.4,35,154,18,Night,52
BAT-000020,2024-04-29 09:47:50,74.6,4.82,11.8,70,149.4,20,Day,41
BAT-000021,2025-05-20 16:34:58,75.9,6.35,21.5,70,82.1,23,Day,15
BAT-000022,2024-07-16 09:08:49,67.7,5.07,22.5,53,96,13,Evening,17
BAT-000023,2024-11-28 16:39:05,68.7,4.7,19,62,99.4,5,Night,54
BAT-000024,2024-08-01 00:28:26,81.1,4.31,21.6,66,152.3,1,Day,52
BAT-000025,2024-05-08 13:05:16,72.4,4.8,12,33,101.4,15,Evening,27
BAT-000026,2024-07-11 13:03:11,63.8,5.51,22.6,39,157.3,17,Night,41
BAT-000027,2024-12-01 12:48:35,79.6,5.73,28,36,80.9,8,Evening,41
