EventId,Timestamp,SourcePort,DestPort,Protocol,BytesSent,BytesReceived,DurationSeconds,FailedLogins,PacketCount,IsInternalIP,ServiceType
NET-0000001,2025-12-15 01:12:43,14315,22,ICMP,2188,32725,2707.45,0,887,1,SSH
NET-0000002,2025-05-18 03:56:04,4350,8080,ICMP,10483,1355,272.51,0,3375,0,HTTP
NET-0000003,2025-08-30 09:06:54,21444,8080,ICMP,47979,10221,1017.24,1,2141,0,DNS
NET-0000004,2024-01-16 20:13:28,31074,12956,UDP,41127,14808,3154.09,2,3413,1,HTTP
NET-0000005,2025-03-13 02:36:06,3819,29487,TCP,32471,34830,1330.17,0,3939,1,HTTP
NET-0000006,2024-03-16 06:16:56,63062,22,UDP,21478,309,2455.06,1,3663,1,Other
NET-0000007,2025-09-25 20:44:58,2472,4170,ICMP,11345,10401,3157.31,1,3842,1,DNS
NET-0000008,2024-05-24 08:59:39,45267,80,TCP,3845,19449,3042.85,1,317,1,SSH
NET-0000009,2025-06-18 13:04:12,48968,8080,ICMP,15987,46585,834.55,2,1491,0,SMTP
NET-0000010,2024-04-16 18:45:55,41669,443,ICMP,46757,35718,2467.01,0,121,1,HTTPS
NET-0000011,2025-03-17 13:57:17,25906,3389,UDP,41904,34433,348.67,0,2061,1,FTP
NET-0000012,2025-03-16 07:13:58,48026,443,TCP,45512,2808,1374.08,1,285,1,SMTP
NET-0000013,2025-04-26 13:11:11,5178,443,TCP,10149,42405,2510.47,2,4236,1,DNS
NET-0000014,2024-04-25 23:53:55,39813,8080,UDP,3315,3852,87.5,2,2288,1,Other
NET-0000015,2024-01-25 23:26:36,40498,8080,UDP,6610,41730,1144.73,0,3865,0,HTTP
NET-0000016,2024-11-17 04:57:49,12287,443,TCP,15972,30105,2614.46,2,3952,1,DNS
NET-0000017,2024-02-19 11:17:11,13552,80,ICMP,36075,36698,908.18,2,3382,1,FTP
NET-0000018,2025-04-18 09:41:14,44886,443,UDP,14787,4706,1810.42,2,3707,1,HTTPS
NET-0000019,2024-07-28 02:47:35,54534,80,ICMP,26168,48628,986.58,0,3078,1,Other
NET-0000020,2025-12-08 09:26:39,42500,24264,UDP,24701,32326,2526.21,0,1284,1,HTTP
NET-0000021,2025-06-08 12:17:25,55951,8080,ICMP,2490,1637,912.74,2,1290,1,HTTP
NET-0000022,2024-07-31 02:47:01,35141,22,UDP,19346,10450,293.15,2,1941,1,FTP
NET-0000023,2025-12-07 02:52:21,44508,3389,UDP,6735,25638,2981.05,1,4499,1,HTTPS
NET-0000024,2025-06-03 09:43:19,63314,22,UDP,36432,34013,1078.04,2,4764,0,SSH
NET-0000025,2024-10-14 16:30:35,60175,443,TCP,5685,11566,1817.95,2,178,1,HTTP
NET-0000026,2024-04-04 11:31:00,23773,8080,ICMP,13500,14497,2407.52,1,1321,1,FTP
NET-0000027,2025-02-24 07:23:37,52519,80,TCP,2067080,553,2800.35,38,333715,1,HTTPS
NET-0000028,2024-09-07 01:11:45,3244,51765,UDP,1067522,172,1982.97,6,141077,1,FTP
NET-0000029,2024-04-13 11:25:23,56928,22,UDP,44976,29184,912.82,0,1951,0,SMTP
NET-0000030,2024-07-07 08:02:53,38780,3389,ICMP,39386,4299,728.56,2,550,0,SMTP
NET-0000031,2025-02-15 23:57:42,40722,8080,TCP,16534,10284,2022.97,2,4902,1,SSH
NET-0000032,2025-02-16 07:36:57,37871,8080,ICMP,49996,45661,790.15,0,1772,1,HTTPS
NET-0000033,2024-03-14 21:43:23,53524,80,UDP,6502,38329,3312.71,2,4441,1,Other
NET-0000034,2025-11-06 08:56:27,6697,443,UDP,6484,47806,66.17,1,4673,1,SMTP
NET-0000035,2025-04-12 11:06:49,21155,3389,UDP,48948,34866,1683.4,1,4967,0,Other
NET-0000036,2025-07-09 13:22:10,27748,80,ICMP,41675,6905,1612.78,2,850,1,HTTPS
NET-0000037,2025-02-19 23:10:45,60022,12784,ICMP,7739,20417,838.79,1,1357,1,SMTP
NET-0000038,2024-04-01 14:14:13,13129,61672,UDP,11709,35455,2511.79,0,869,0,SMTP
NET-0000039,2025-02-17 12:40:00,25871,22,ICMP,14582,47577,824.77,1,37,1,Other
NET-0000040,2025-07-04 13:28:30,61960,38900,TCP,32966,41142,780.77,2,2333,0,HTTP
NET-0000041,2024-11-28 15:20:49,54112,8080,ICMP,45450,9579,2596.23,1,2292,0,DNS
NET-0000042,2025-10-21 01:20:30,45225,64348,ICMP,1238017,569,1581.48,33,333162,1,SSH
NET-0000043,2025-01-12 23:30:15,25723,22,ICMP,32327,16338,1206.63,1,1983,1,HTTPS
NET-0000044,2024-09-10 07:02:39,15241,443,TCP,42937,26193,3443.8,1,969,0,DNS
NET-0000045,2025-08-27 13:44:02,12813,80,ICMP,28832,22987,1392.58,0,953,1,HTTPS
NET-0000046,2025-02-10 14:03:09,42882,3389,TCP,7869,12360,1452.6,0,3495,1,DNS
NET-0000047,2024-11-05 17:49:29,15980,8080,ICMP,30898,45125,2408.03,0,538,0,FTP
NET-0000048,2024-10-30 08:19:55,23944,25393,UDP,18638,45878,1719.78,1,3026,0,FTP
NET-0000049,2025-03-13 01:10:48,39586,3389,TCP,9615,35070,2990.83,0,2646,0,SSH
NET-0000050,2024-04-04 20:55:07,42705,3389,ICMP,11186,44807,3475.55,1,4182,0,SSH
NET-0000051,2025-03-08 04:16:20,59237,22,ICMP,26900,27178,1822.99,1,2027,0,Other
NET-0000052,2025-02-08 01:45:17,19008,443,TCP,36819,21622,1672.27,0,3293,1,DNS
NET-0000053,2025-08-07 11:28:46,51063,3389,ICMP,5527,39358,2887.36,2,4564,1,Other
NET-0000054,2025-10-29 09:49:58,59341,443,TCP,25704,29263,2073.22,1,3028,1,SSH
NET-0000055,2024-08-06 17:40:14,43513,3389,TCP,44883,39742,1303.07,1,3213,1,SMTP
NET-0000056,2024-08-22 06:54:21,15790,3389,TCP,22044,49939,955.31,0,2609,1,HTTPS
NET-0000057,2025-05-07 09:39:01,48720,8080,TCP,3680249,690,2961.13,37,2690,1,SSH
NET-0000058,2025-09-01 03:45:39,38057,8080,TCP,10968,41090,1092.53,1,4155,0,FTP
NET-0000059,2025-02-17 15:03:25,34656,8080,TCP,4746,40074,3244.68,0,1948,1,HTTP
NET-0000060,2025-10-02 11:09:23,31793,443,ICMP,39168,12457,2550.28,0,2958,1,HTTPS
NET-0000061,2024-12-30 15:01:47,43469,64713,UDP,1385,29221,3065.66,1,1216,1,Other
NET-0000062,2024-08-10 14:11:58,4576,443,ICMP,40111,20945,1880.54,2,3724,0,SMTP
NET-0000063,2025-01-24 12:57:51,1105,22,TCP,1347261,240,1692.89,6,406141,1,HTTP
NET-0000064,2024-04-28 17:58:23,14770,22,ICMP,3205586,156,1597.23,35,41913,1,HTTP
NET-0000065,2024-07-08 12:54:27,55576,443,TCP,9233,7954,1000.62,1,1926,1,DNS
NET-0000066,2024-10-25 15:13:12,13093,22,UDP,26324,7669,3472.45,2,3614,0,Other
NET-0000067,2024-12-27 15:10:14,16009,22,UDP,27129,12516,169.71,1,3975,0,HTTPS
NET-0000068,2025-04-07 06:14:05,14694,24121,UDP,27054,13131,2950.2,2,1925,1,HTTPS
NET-0000069,2025-02-02 14:04:32,14291,80,UDP,674,29551,2648.79,1,1677,1,HTTP
NET-0000070,2025-01-06 02:41:20,44101,80,UDP,36022,14636,387.62,0,4759,0,DNS
NET-0000071,2024-06-15 06:33:21,16415,22,ICMP,2082,27886,2463.41,0,2375,0,Other
NET-0000072,2025-05-09 06:59:33,8664,22,TCP,36515,4015,1595.15,1,229,1,HTTP
NET-0000073,2025-06-22 01:58:12,36122,3389,ICMP,13060,8387,580.53,2,1752,0,DNS
NET-0000074,2025-09-14 09:58:37,50488,3389,ICMP,21537,672,399.73,0,1056,1,FTP
NET-0000075,2025-07-20 18:20:29,64420,443,UDP,39735,29333,2230.47,2,4237,1,HTTPS
NET-0000076,2024-01-13 14:13:37,62202,43488,ICMP,38162,5070,1160.08,2,4587,1,SMTP
NET-0000077,2024-10-31 11:48:58,19619,80,UDP,20395,34438,1545.6,0,26,1,HTTPS
NET-0000078,2024-04-24 02:30:25,18593,22,TCP,9142,15635,678.62,1,2928,0,DNS
NET-0000079,2024-10-27 09:41:10,58188,443,ICMP,962600,517,627.04,18,249991,1,Other
NET-0000080,2024-10-09 23:47:23,26122,8080,UDP,2132100,755,1026.26,50,417733,1,SSH
NET-0000081,2024-08-30 08:39:58,28433,80,ICMP,26184,27640,1547.08,0,1954,1,SMTP
NET-0000082,2025-03-19 06:44:57,56493,3389,ICMP,21676,15555,2193.74,0,99,1,SSH
NET-0000083,2024-07-13 10:57:45,4515,22,UDP,3351,37552,3563.27,2,2146,0,SMTP
NET-0000084,2025-08-07 17:33:02,23945,80,UDP,28837,36044,3288.34,0,4704,1,HTTP
NET-0000085,2025-01-13 21:58:32,30355,3389,UDP,11276,47404,80.81,2,4231,1,HTTP
NET-0000086,2024-02-03 21:48:48,19882,22,TCP,3681,49636,1161.4,2,1010,1,HTTP
