ServerId,Timestamp,CpuUsagePct,MemoryUsagePct,DiskIoMbps,NetworkInMbps,NetworkOutMbps,ActiveConnections,ErrorRate,ResponseTimeMs
SRV-CACHE-8,2024-07-31 13:53:02,57.4,57.9,90.9,22,25.4,1614,0.0178,153
SRV-API-9,2025-01-11 18:07:09,40.5,63.2,77,105.9,6.8,273,0.0063,293
SRV-CACHE-3,2025-01-22 03:14:48,27.4,72.3,62.5,41.2,7.7,106,0.0181,90
SRV-CACHE-8,2024-03-23 08:06:04,70.6,50.6,94.8,125.7,36.6,642,0.01,168
SRV-DB-2,2024-11-28 22:45:23,36.3,59.2,83.8,67.3,27.6,660,0.0137,227
SRV-WEB-9,2025-02-15 20:30:38,65.5,39.1,24.2,128.6,123.2,1570,0.0064,259
SRV-API-19,2024-01-04 00:43:45,45.1,34.6,9.6,18.7,48.1,1024,0.0126,282
SRV-API-3,2024-11-24 13:11:38,52.1,37.1,31.9,27.5,52.2,584,0.0075,246
SRV-DB-12,2024-04-15 01:25:46,66.8,76.8,29.5,49,58.8,1789,0.0079,33
SRV-CACHE-1,2025-07-04 09:32:54,70.6,60.9,21,192.2,86.4,955,0.0013,78
SRV-API-8,2024-03-05 11:30:46,13.2,55.1,30.1,34,43.7,1691,0.0016,209
SRV-API-6,2025-10-07 02:23:25,17.8,40.2,69.5,22.4,117,1968,0.014,53
SRV-API-15,2024-02-12 23:40:01,47.1,54.1,95.6,39.8,52.4,1389,0.0092,135
SRV-DB-14,2025-12-15 16:37:45,22.6,41.2,86.2,98.8,30.3,109,0.002,28
SRV-CACHE-4,2025-08-05 19:39:52,45.3,59.3,33.4,37,117.2,1728,0.0119,233
SRV-DB-6,2025-08-17 12:40:48,28.7,71.2,37.1,34.1,16.4,1106,0.0021,105
SRV-DB-15,2024-04-26 19:05:45,73.7,57.5,37.2,196.2,60.4,919,0.0067,124
SRV-CACHE-19,2025-08-28 18:04:10,73.6,64.1,53.5,190.5,17.7,461,0.0049,225
SRV-CACHE-3,2025-02-13 01:58:58,72,50.8,96.1,115.2,51.3,222,0.0179,60
SRV-CACHE-5,2024-03-03 02:17:35,41.8,62.8,97.7,171.1,81.3,1750,0.0023,155
SRV-API-15,2025-05-05 23:10:38,35.1,34,69.9,5.4,81.9,1176,0.0125,138
SRV-DB-18,2024-01-13 22:13:45,60.3,53.2,30.1,172.4,103.9,621,0.0153,120
SRV-DB-8,2024-03-06 21:29:41,63.8,52.6,41.8,128,78.8,1797,0.0065,107
SRV-DB-1,2024-06-21 23:55:11,55.8,57.3,10.2,190.6,50.8,648,0.0003,70
SRV-CACHE-18,2025-12-01 22:54:36,70.1,37.9,45.5,99.1,17.8,168,0.0015,248
SRV-DB-16,2024-07-23 14:19:36,48.9,50.4,23.7,140.8,88,436,0.0182,239
SRV-CACHE-12,2025-07-25 23:05:22,47.5,61.8,13.5,27.1,61.6,1746,0.0084,243
SRV-WEB-9,2025-10-04 11:45:58,73.9,31.9,50.8,175.1,27,1876,0.0128,96
