CustomerId,RecencyDays,Frequency,MonetaryTotal,AvgOrderValue,NumReturns,EmailOpenRate,LoyaltyPoints,PreferredChannel,AgeGroup,Region
CUST-00001,253,40,11112.39,286.7,9,0.02,55887,MobileApp,46-55,North
CUST-00002,163,32,14900.59,11.07,2,0.64,5004,InStore,56+,West
CUST-00003,172,45,15164.33,123.47,1,0.45,32195,MobileApp,46-55,North
CUST-00004,110,63,18741.68,158.82,7,0.17,37516,Phone,18-25,West
CUST-00005,233,43,5681.59,31.05,9,0.33,7332,Phone,26-35,East
CUST-00006,307,16,23548.17,35,1,0.6,2236,InStore,56+,West
CUST-00007,396,58,22102.04,293.97,9,0.58,27099,InStore,56+,West
CUST-00008,56,13,15411.74,42.39,9,0.65,20321,Online,56+,East
CUST-00009,134,35,21055.01,316.14,8,0.06,54040,Online,56+,North
CUST-00010,362,29,21600.97,166.82,8,0.66,37746,Phone,56+,South
CUST-00011,382,55,27928,409.1,10,0.65,34725,InStore,56+,West
CUST-00012,91,26,29399.92,372.1,10,0.45,6853,Online,26-35,South
CUST-00013,251,39,4086.66,158.41,0,0.65,13840,Online,36-45,West
CUST-00014,286,50,17161.6,229.02,4,0.14,1617,Online,26-35,West
CUST-00015,163,18,14960.04,26.9,10,,55659,MobileApp,46-55,West
CUST-00016,272,18,19629.99,100.02,6,0.46,58604,Phone,26-35,West
CUST-00017,318,74,2090.91,88.36,7,0.35,45310,InStore,56+,South
CUST-00018,233,44,1223.38,27.25,0,0.62,54679,MobileApp,46-55,South
CUST-00019,95,68,10721.42,342.65,0,0.14,45396,MobileApp,36-45,North
CUST-00020,366,69,8034.34,417.92,8,0.53,11952,Phone,26-35,South
CUST-00021,279,80,5669.34,78.56,7,0.66,19007,MobileApp,18-25,West
CUST-00022,391,42,19123.24,412.52,0,,10702,MobileApp,36-45,West
CUST-00023,91,17,29154.57,435.6,0,0.65,30620,InStore,36-45,South
CUST-00024,76,2,22842.46,224.52,7,0.49,31064,Online,36-45,East
CUST-00025,29,43,7208.47,566.73,8,0.42,19371,InStore,26-35,East
CUST-00026,139,56,756.52,516.57,10,0.52,51417,Phone,18-25,South
CUST-00027,372,10,7662.45,385,9,,15437,InStore,46-55,North
CUST-00028,345,71,22473,483.65,3,0.61,41174,Online,36-45,East
CUST-00029,163,59,24539.55,587.61,6,0.11,57369,MobileApp,18-25,East
CUST-00030,3,14,6509.65,189.99,1,0.07,29412,MobileApp,46-55,West
