ContactId,Age,IncomeBracket,EmailEngagementRate,WebsiteVisits30d,PurchasesLastYear,CartAbandonmentRate,PreferredCategory,SubscribedToNewsletter,Region
CON-000001,46,30-60k,0.07,11,24,0.4,Food,0,Canada
CON-000002,69,100-150k,0.08,20,10,0.78,Home,0,US-West
CON-000003,51,30-60k,0.427,42,12,0.43,Food,0,Canada
CON-000004,46,<30k,0.371,13,7,0.7,Home,0,US-West
CON-000005,25,60-100k,0.023,42,10,0.1,Sports,1,UK
CON-000006,33,30-60k,0.058,6,1,0.27,Fashion,0,Canada
CON-000007,39,100-150k,0.133,13,5,0.72,Electronics,1,UK
CON-000008,19,<30k,0.09,8,16,0.38,Food,0,US-East
CON-000009,58,60-100k,0.003,7,11,0.55,Food,1,US-East
CON-000010,32,100-150k,0.242,19,14,0.4,Fashion,1,UK
CON-000011,64,100-150k,0.085,55,22,0.34,Food,1,Canada
CON-000012,29,100-150k,0.466,19,2,0.27,Food,0,US-West
CON-000013,21,60-100k,0.272,21,10,0.54,Food,0,Canada
CON-000014,42,150k+,0.415,55,24,0.41,Electronics,0,UK
CON-000015,64,150k+,0.056,17,16,0.59,Fashion,1,US-West
CON-000016,37,30-60k,0.253,50,23,0.13,Fashion,0,Canada
CON-000017,28,30-60k,0.216,29,13,0.23,Beauty,0,US-East
CON-000018,65,<30k,0.44,55,7,0.66,Beauty,1,US-Central
CON-000019,40,150k+,0.31,46,2,0.12,Sports,1,US-West
CON-000020,63,100-150k,0.474,59,1,0.22,Beauty,1,US-East
CON-000021,59,30-60k,0.225,30,6,0.32,Beauty,1,Canada
CON-000022,59,150k+,0.264,53,16,0.65,Home,1,US-Central
CON-000023,42,<30k,0.493,38,24,0.33,Food,0,UK
CON-000024,51,30-60k,0.161,45,5,0.24,Food,1,US-Central
CON-000025,19,100-150k,0.239,59,2,0.27,Food,1,UK
CON-000026,31,30-60k,0.267,23,9,0.46,Food,1,Canada
CON-000027,25,100-150k,0.2,42,9,0.24,Beauty,0,UK
CON-000028,51,100-150k,0.341,34,12,0.01,Home,1,US-East
CON-000029,21,150k+,0.253,32,3,0.8,Sports,1,US-Central
CON-000030,38,100-150k,0.24,46,14,0.51,Fashion,0,US-West
CON-000031,38,60-100k,0.163,25,0,0.51,Electronics,0,US-Central
CON-000032,49,<30k,0.457,1,16,0.56,Fashion,0,Canada
CON-000033,64,30-60k,0.029,3,6,0.73,Home,1,US-West
CON-000034,31,30-60k,0.338,41,2,0.52,Home,0,US-West
CON-000035,37,100-150k,0.208,44,24,0.17,Home,0,US-West
CON-000036,18,60-100k,0.433,46,24,0.52,Fashion,1,US-Central
CON-000037,22,150k+,0.427,31,2,0.66,Sports,1,UK
CON-000038,68,<30k,0.264,26,20,0.14,Electronics,1,US-Central
CON-000039,69,60-100k,0.424,47,5,0.12,Beauty,1,Canada
CON-000040,55,100-150k,0.418,2,14,0.06,Food,1,UK
CON-000041,35,<30k,0.068,30,10,0.32,Sports,0,US-East
CON-000042,36,30-60k,0.073,2,11,0.01,Beauty,0,US-Central
CON-000043,60,30-60k,0.015,53,15,0.37,Electronics,1,US-West
CON-000044,22,150k+,0.475,58,24,0.2,Food,1,Canada
CON-000045,58,30-60k,0.032,40,14,0.56,Fashion,0,US-West
CON-000046,43,100-150k,0.121,42,9,0.02,Home,0,US-West
CON-000047,62,100-150k,0.474,19,4,0.3,Electronics,0,US-West
CON-000048,49,150k+,0.094,42,23,0.36,Sports,1,US-West
CON-000049,59,30-60k,0.002,9,17,0.1,Sports,0,Canada
CON-000050,58,60-100k,0.072,15,10,0.66,Sports,0,US-West
CON-000051,46,100-150k,0.078,51,2,0.57,Food,1,Canada
CON-000052,32,100-150k,0.492,33,23,0.64,Beauty,0,US-Central
CON-000053,26,60-100k,0.161,40,4,0.39,Fashion,0,US-Central
CON-000054,61,150k+,0.025,21,5,0.65,Home,1,Canada
CON-000055,25,<30k,0.149,47,17,0.19,Electronics,1,US-East
CON-000056,70,<30k,0.001,15,1,0.77,Fashion,0,UK
CON-000057,37,60-100k,0.269,14,7,0.21,Fashion,0,US-East
CON-000058,52,150k+,0.357,30,4,0.63,Electronics,0,US-East
CON-000059,32,60-100k,0.457,38,1,0.26,Sports,1,UK
CON-000060,32,60-100k,0.446,25,6,0.47,Food,0,US-West
CON-000061,52,30-60k,0.343,21,11,0.19,Food,1,US-West
CON-000062,42,100-150k,0.222,55,19,0.62,Sports,1,US-Central
CON-000063,50,30-60k,0.302,33,11,0.28,Electronics,1,Canada
CON-000064,35,30-60k,0.289,60,11,0.34,Beauty,0,US-West
CON-000065,38,<30k,0.059,41,8,0.42,Food,1,US-East
CON-000066,54,150k+,0.078,10,9,0.21,Beauty,0,Canada
CON-000067,54,60-100k,0.357,49,4,0.67,Food,0,US-East
CON-000068,49,150k+,0.362,35,16,0.13,Fashion,1,US-West
CON-000069,27,<30k,0.134,13,11,0.35,Sports,1,US-Central
CON-000070,58,30-60k,0.477,12,21,0.23,Home,1,US-East
CON-000071,19,150k+,0.038,36,20,0.31,Home,1,US-Central
CON-000072,45,<30k,0.126,30,14,0.46,Electronics,1,Canada
CON-000073,33,30-60k,0.164,2,24,0.28,Fashion,0,US-West
CON-000074,36,60-100k,0.152,29,24,0.13,Beauty,1,US-Central
CON-000075,26,<30k,0.327,34,24,0.04,Sports,0,UK
CON-000076,46,30-60k,0.309,1,2,0.35,Home,0,UK
CON-000077,33,150k+,0.11,17,6,0.12,Food,1,Canada
CON-000078,64,150k+,0.367,47,24,0.41,Food,1,UK
CON-000079,48,150k+,0.372,2,20,0.28,Fashion,1,US-East
CON-000080,24,60-100k,0.367,38,13,0.4,Sports,1,US-Central
CON-000081,61,30-60k,0.283,33,11,0.2,Sports,1,US-West
CON-000082,45,30-60k,0.208,34,16,0.56,Home,1,Canada
CON-000083,48,60-100k,0.457,24,19,0.09,Home,1,US-East
CON-000084,40,60-100k,0.14,46,11,0.7,Home,0,Canada
CON-000085,55,100-150k,0.415,39,13,0.36,Sports,0,US-Central
CON-000086,63,<30k,0.078,30,9,0.03,Beauty,0,US-Central
