StoreId,MonthlyRevenue,FootTraffic,AvgTransactionValue,InventoryTurnover,StaffCount,StoreSizeSqFt,LocationType,ParkingSpaces,Region
STR-0001,2342119,41116,38.38,5.6,56,14533,Suburban,264,East
STR-0002,1862889,29115,114.49,12.2,60,11018,Mall,195,West
STR-0003,318476,20217,87.56,3.6,8,20802,Suburban,69,South
STR-0004,2346819,70230,32.53,8.9,8,21830,Mall,16,North
STR-0005,135428,41031,63.53,3,58,30888,Suburban,72,West
STR-0006,2278846,50703,90.97,14,17,32389,Mall,69,West
STR-0007,836928,57530,78.19,13.9,70,2057,Airport,32,East
STR-0008,1608634,61269,105.48,14.4,48,23972,Urban,281,South
STR-0009,667283,78021,114.08,2.3,48,30368,Standalone,251,North
STR-0010,1140219,30991,91.2,7.6,12,18183,Standalone,251,South
STR-0011,1141731,23778,50.44,10.5,9,20162,Standalone,2,East
STR-0012,762331,12620,47.16,10.4,20,37480,Airport,257,East
STR-0013,825890,53088,89.66,4.7,45,24976,Standalone,290,East
STR-0014,182865,14656,97.3,12.2,53,9470,Standalone,217,West
STR-0015,1582070,21013,74.26,10.8,55,20174,Mall,109,South
STR-0016,2377296,44280,23.86,13.4,9,18423,Standalone,210,South
STR-0017,1212804,73780,85.68,3.7,24,40497,Standalone,169,Central
STR-0018,1652177,61396,112.18,8,51,9681,Suburban,240,North
STR-0019,2416016,46853,96.06,9.2,59,42504,Urban,233,East
STR-0020,1865960,9859,119.52,11.4,30,9262,Suburban,145,North
STR-0021,1450993,32099,60.05,5.4,54,39718,Suburban,179,East
STR-0022,142177,15482,90.79,5.7,34,30059,Suburban,,South
STR-0023,2271450,6505,55.51,6.3,16,47843,Suburban,170,North
STR-0024,2376602,68586,95.75,12.2,59,34263,Mall,33,North
STR-0025,796809,63153,118.86,9.8,39,31988,Mall,219,West
STR-0026,548321,33165,54.14,2.6,25,49294,Airport,103,Central
STR-0027,2494940,63805,23.22,12.1,30,22351,Mall,48,South
STR-0028,241310,71774,47.42,12.8,42,38848,Standalone,197,East
STR-0029,967157,28733,31.32,6.8,18,28573,Standalone,152,Central
STR-0030,1115160,68741,34.95,9,7,3786,Standalone,84,Central
STR-0031,676370,28885,24.55,14.3,40,21634,Suburban,217,South
STR-0032,288623,53055,71.09,10,60,27244,Suburban,117,East
STR-0033,630690,42622,118.7,8.2,75,21375,Airport,126,East
STR-0034,2321748,8031,21.76,10.3,16,5044,Airport,39,Central
STR-0035,1796426,74239,47.52,11.1,5,5291,Urban,232,South
STR-0036,2352107,16996,61.92,6.6,32,31217,Airport,102,North
STR-0037,531545,6168,103.16,7.2,66,24510,Mall,30,West
STR-0038,1667815,38823,95.19,6.9,71,9416,Mall,11,West
STR-0039,2387233,69381,51.02,8.9,18,21329,Airport,292,Central
STR-0040,1233253,67982,100.92,5.4,37,27359,Mall,205,South
STR-0041,1422691,43159,71.97,13.8,75,12839,Urban,114,East
STR-0042,1887012,36871,53.25,4.1,76,48513,Standalone,90,West
STR-0043,1452416,71441,86.86,12.7,46,35487,Urban,22,South
STR-0044,1871134,77133,32.13,7.9,15,8163,Suburban,43,West
STR-0045,1349873,55575,19.93,4.3,10,23584,Urban,42,Central
STR-0046,1701349,61614,66.04,3.1,32,9192,Standalone,277,West
STR-0047,506147,68680,82.06,2.4,33,34334,Airport,91,East
STR-0048,1656173,25197,74.51,8,45,25977,Suburban,271,East
STR-0049,1591747,53937,89.38,11.7,15,42374,Standalone,298,South
STR-0050,1179696,5051,56.35,10.7,9,21524,Mall,14,Central
STR-0051,2090067,67027,62.74,5.8,34,5417,Mall,241,East
STR-0052,2313278,55328,45.09,5.5,67,25548,Standalone,38,South
STR-0053,2055255,62481,112.54,10.2,15,40081,Urban,169,Central
STR-0054,291847,65106,79,5.1,78,4772,Urban,298,North
STR-0055,385559,42402,70.36,10.8,75,16777,Mall,291,North
STR-0056,1467686,61678,59.89,10.4,52,48094,Suburban,24,East
STR-0057,2466055,50440,103.8,14.8,36,19653,Urban,43,Central
STR-0058,2061542,49424,80.53,4.1,27,41536,Mall,58,West
STR-0059,530667,71779,20.59,11.4,51,43640,Standalone,81,East
STR-0060,1026104,20354,27.24,5.7,71,18205,Standalone,110,South
STR-0061,1965541,33866,84,10.8,34,25695,Suburban,,East
STR-0062,1337146,58133,76.76,7.3,69,19285,Urban,101,Central
STR-0063,153996,23596,58.94,9.6,30,30794,Mall,197,East
STR-0064,1087649,48147,105.76,8.4,52,25125,Suburban,75,West
STR-0065,2499872,16806,51.72,11.3,7,42877,Urban,101,Central
STR-0066,341742,73486,48.43,9.9,42,45690,Mall,,North
STR-0067,1068497,71237,30.16,11.9,71,8148,Suburban,,West
STR-0068,2371271,32174,112.18,9,66,22183,Standalone,7,West
STR-0069,1770401,26683,100.16,11.2,41,13454,Airport,187,West
STR-0070,1559203,15344,106.03,9.3,5,29024,Suburban,81,South
STR-0071,2004916,30718,72.8,10.3,20,14676,Airport,58,South
STR-0072,1163037,62239,33.48,11.7,11,15625,Standalone,265,West
STR-0073,2173370,55289,94.56,11.5,62,31762,Suburban,223,Central
STR-0074,2401833,11195,89.6,14.6,73,10924,Suburban,90,North
STR-0075,728182,44748,24.12,2.2,13,3640,Airport,44,North
STR-0076,1100274,7069,37.09,10.5,29,41746,Airport,250,East
STR-0077,1174813,47798,105.76,7.1,9,31450,Airport,244,East
STR-0078,1260461,49979,32.47,5.4,64,19592,Standalone,199,East
