SupplierId,OnTimeDeliveryRate,QualityScore,AvgLeadTimeDays,DefectRate,OrderVolumeAnnual,PriceCompetitiveness,ContractLengthYears,Region,IndustryCategory
SUP-00001,0.658,2.8,4,0.031,98461,0.98,0.6,Europe,Chemicals
SUP-00002,0.915,1.9,31,0.0504,651866,0.87,4.9,AsiaPacific,RawMaterials
SUP-00003,0.905,7.6,19,0.0485,3507337,1.06,1.1,LatinAmerica,Logistics
SUP-00004,0.938,5.9,40,0.0258,3822915,0.82,3.4,Europe,Logistics
SUP-00005,0.869,3.6,10,0.0796,2252270,0.99,2.5,LatinAmerica,Chemicals
SUP-00006,0.885,7.5,4,0.024,4573503,0.85,1.4,AsiaPacific,Electronics
SUP-00007,0.623,8,19,0.0409,3077771,0.72,0.6,Europe,Electronics
SUP-00008,0.781,9.2,21,0.0428,3715812,1.19,3.6,NorthAmerica,RawMaterials
SUP-00009,0.752,4.7,35,0.0228,3975791,0.88,4.1,Europe,Packaging
SUP-00010,0.75,4,9,0.0363,3710609,0.92,4.8,Europe,Chemicals
SUP-00011,0.736,7.1,30,0.0378,3397225,0.98,2.8,NorthAmerica,Electronics
SUP-00012,0.885,6,17,0.0015,2875490,0.89,4.6,AsiaPacific,Electronics
SUP-00013,0.852,6.5,40,0.0716,1769056,1.12,1.8,AsiaPacific,Packaging
SUP-00014,0.715,7.8,43,0.0217,2177446,1.08,2.8,LatinAmerica,RawMaterials
SUP-00015,0.679,6.9,28,0.0313,4736046,1,4.8,LatinAmerica,Logistics
SUP-00016,0.711,1.3,25,0.0102,3481493,1.19,4.7,LatinAmerica,Electronics
SUP-00017,0.868,4.4,14,0.0721,4456832,1.13,4.8,NorthAmerica,Logistics
SUP-00018,0.721,7.8,14,0.0767,4825156,1.13,4.7,LatinAmerica,Packaging
SUP-00019,0.822,4.2,40,0.0522,3798303,0.94,2.6,Europe,RawMaterials
SUP-00020,0.765,9.2,22,0.0797,3032855,0.86,2.1,NorthAmerica,Logistics
SUP-00021,0.915,8.4,11,0.0193,943366,1,3.5,NorthAmerica,RawMaterials
SUP-00022,0.625,7.9,41,0.0323,2215303,1.07,4.3,NorthAmerica,Packaging
SUP-00023,0.707,8.8,17,0.0769,4150402,0.82,1.3,LatinAmerica,Logistics
SUP-00024,0.737,2.3,39,0.0317,3454838,0.8,4,LatinAmerica,RawMaterials
SUP-00025,0.881,5.7,19,0.0095,3925880,1.05,3.3,AsiaPacific,Packaging
SUP-00026,0.707,5.1,13,0.0474,196020,0.85,3.4,LatinAmerica,RawMaterials
SUP-00027,0.929,5.8,27,0.0617,904311,0.79,4.3,LatinAmerica,Chemicals
SUP-00028,0.791,3.2,16,0.0729,732744,0.94,4.9,Europe,Logistics
SUP-00029,0.933,2.1,44,0.0165,3616020,0.8,4.6,AsiaPacific,Electronics
SUP-00030,0.637,6.2,15,0.0059,4929690,1.06,4.1,LatinAmerica,RawMaterials
SUP-00031,0.986,1.9,5,0.0059,302564,1.05,3.4,LatinAmerica,Logistics
SUP-00032,0.729,2.7,19,0.0154,4659593,0.88,3.1,NorthAmerica,Logistics
SUP-00033,0.66,2.7,3,0.0287,2482697,0.87,2.9,AsiaPacific,Electronics
SUP-00034,0.889,6.3,30,0.044,2595107,1.01,2.9,LatinAmerica,Packaging
SUP-00035,0.778,3.1,18,0.0422,1799776,0.8,0.7,AsiaPacific,Packaging
SUP-00036,0.94,7.9,37,0.0385,2127297,1.1,3.6,AsiaPacific,Logistics
SUP-00037,0.82,1.1,12,0.0678,1538133,0.83,3.8,NorthAmerica,Logistics
SUP-00038,0.713,7.4,32,0.0122,2992151,0.83,3.5,Europe,Logistics
SUP-00039,0.705,7.1,30,0.0399,1875065,0.95,3.5,AsiaPacific,Logistics
SUP-00040,0.854,6.4,36,0.0651,2286692,1.03,4.7,Europe,Chemicals
SUP-00041,0.794,5.6,6,0.0132,3221485,1.11,4.6,Europe,Logistics
SUP-00042,0.647,2.9,44,0.0254,4674290,0.95,4.5,AsiaPacific,Electronics
SUP-00043,0.715,3.4,26,0.0676,4765316,1.13,0.5,AsiaPacific,Logistics
SUP-00044,0.903,2.6,20,0.0309,396772,1.17,3,NorthAmerica,Electronics
SUP-00045,0.638,2,31,0.0078,3044790,0.98,0.7,NorthAmerica,Chemicals
SUP-00046,0.867,8.4,40,0.0481,3706535,0.91,3.5,AsiaPacific,Packaging
SUP-00047,0.818,7.3,13,0.0796,1173200,0.92,2.9,Europe,Electronics
SUP-00048,0.986,5.5,36,0.0059,2949898,1.01,1.4,Europe,Logistics
SUP-00049,0.902,5.1,7,0.0648,1583456,0.87,1.2,Europe,Chemicals
SUP-00050,0.829,1.4,20,0.0123,1616482,0.92,4,NorthAmerica,RawMaterials
SUP-00051,0.745,5.2,29,0.0486,1673417,1.12,2,AsiaPacific,Chemicals
SUP-00052,0.826,7.9,22,0.0636,83813,0.8,2.8,NorthAmerica,Electronics
SUP-00053,0.627,9.6,44,0.0439,510281,1.08,2.2,LatinAmerica,RawMaterials
SUP-00054,0.886,6.1,5,0.0577,1660190,1.04,1.9,Europe,Packaging
SUP-00055,0.873,1.9,12,0.0508,1946548,0.97,3.3,Europe,Packaging
SUP-00056,0.905,9.6,37,0.0385,2422322,0.77,4.2,LatinAmerica,RawMaterials
SUP-00057,0.778,5.9,18,0.037,3280806,1.11,1.2,NorthAmerica,RawMaterials
SUP-00058,0.713,4.3,21,0.0629,4687685,1.01,1.3,LatinAmerica,RawMaterials
SUP-00059,0.842,8.9,39,0.0617,4925993,0.92,1.5,NorthAmerica,Logistics
SUP-00060,0.724,5.9,11,0.0464,4376726,1.03,2.8,Europe,Electronics
SUP-00061,0.935,3,34,0.0181,4072766,0.87,0.7,Europe,Logistics
SUP-00062,0.678,3.8,14,0.0113,3728731,0.87,4.1,AsiaPacific,Logistics
SUP-00063,0.985,9.5,23,0.0639,3621455,0.8,1.9,Europe,RawMaterials
SUP-00064,0.956,5.8,14,0.048,1955804,1.02,1.7,Europe,Logistics
SUP-00065,0.931,7.8,9,0.0688,3799877,1.12,4.9,NorthAmerica,Electronics
SUP-00066,0.777,6.8,22,0.0571,3841903,0.86,0.6,Europe,Logistics
SUP-00067,0.721,1.4,5,0.0592,1756616,1.07,2.6,LatinAmerica,Packaging
SUP-00068,0.837,6.1,42,0.0562,190679,1.14,1.9,NorthAmerica,Packaging
SUP-00069,0.667,1,9,0.0627,790678,1.1,4.4,AsiaPacific,Packaging
SUP-00070,0.639,6.9,44,0.0625,4883309,0.83,1.9,NorthAmerica,Chemicals
SUP-00071,0.614,9.5,17,0.0265,3118861,0.79,4.6,LatinAmerica,Chemicals
SUP-00072,0.915,4.1,28,0.0356,1325229,0.86,4.2,LatinAmerica,Chemicals
