UserId,ItemId,Rating,Timestamp,UserAgeGroup,ItemCategory
USR-0094,BOK-0091,3,2024-07-21,46-55,NonFiction
USR-0021,BOK-0074,4,2025-10-11,18-25,Biography
USR-0035,BOK-0033,4,2025-10-15,56+,Technical
USR-0143,BOK-0018,5,2022-07-16,36-45,SciFi
USR-0125,BOK-0046,3,2023-10-14,56+,Fiction
USR-0081,BOK-0053,5,2022-05-27,36-45,Technical
USR-0012,BOK-0021,3,2024-07-06,46-55,SciFi
USR-0032,BOK-0053,3,2022-05-01,18-25,SciFi
USR-0023,BOK-0014,3,2025-03-11,56+,Biography
USR-0056,BOK-0031,5,2024-10-19,36-45,Biography
USR-0080,BOK-0036,4,2024-10-15,36-45,NonFiction
USR-0087,BOK-0079,3,2025-07-29,46-55,NonFiction
USR-0089,BOK-0049,3,2023-05-13,26-35,Fiction
USR-0119,BOK-0015,1,2024-09-23,18-25,SciFi
USR-0007,BOK-0025,3,2022-04-15,26-35,Technical
USR-0037,BOK-0066,5,2023-06-20,56+,Biography
USR-0037,BOK-0065,4,2022-12-18,56+,Technical
USR-0095,BOK-0040,2,2024-08-04,46-55,NonFiction
USR-0092,BOK-0039,3,2022-03-06,56+,NonFiction
USR-0138,BOK-0064,,2022-01-26,36-45,Fiction
USR-0119,BOK-0089,4,2024-01-12,18-25,NonFiction
USR-0098,BOK-0035,5,2024-12-04,36-45,SciFi
USR-0113,BOK-0077,1,2025-03-14,36-45,Technical
USR-0048,BOK-0031,5,2022-11-18,36-45,Technical
USR-0039,BOK-0026,4,2025-04-26,46-55,NonFiction
USR-0059,BOK-0080,3,2022-06-19,46-55,Technical
USR-0145,BOK-0029,3,2022-12-08,26-35,Fiction
USR-0035,BOK-0020,3,2022-10-18,46-55,Fiction
USR-0129,BOK-0011,4,2025-01-18,56+,NonFiction
USR-0011,BOK-0016,,2025-07-29,46-55,Fiction
USR-0095,BOK-0004,5,2025-01-21,18-25,SciFi
USR-0133,BOK-0028,3,2022-12-26,46-55,Technical
USR-0129,BOK-0034,5,2023-07-14,36-45,Biography
USR-0067,BOK-0025,2,2022-04-09,46-55,Fiction
USR-0044,BOK-0014,4,2023-06-06,26-35,Fiction
USR-0101,BOK-0012,4,2023-06-20,26-35,Fiction
USR-0047,BOK-0086,4,2023-03-13,46-55,NonFiction
USR-0113,BOK-0044,3,2022-08-28,56+,Fiction
USR-0102,BOK-0073,5,2022-02-16,56+,NonFiction
USR-0041,BOK-0050,4,2025-12-21,36-45,Biography
