UserId,ItemId,Rating,Timestamp,UserAgeGroup,ItemCategory
USR-0025,CRS-0074,5,2025-05-25,18-25,Business
USR-0050,CRS-0045,2,2022-09-10,56+,Design
USR-0075,CRS-0048,,2023-05-12,56+,Business
USR-0054,CRS-0034,5,2025-08-10,26-35,Business
USR-0075,CRS-0058,2,2023-10-10,26-35,DataScience
USR-0089,CRS-0005,2,2022-02-14,36-45,Programming
USR-0102,CRS-0066,2,2025-01-23,36-45,DataScience
USR-0084,CRS-0019,2,2025-06-05,36-45,Business
USR-0085,CRS-0026,3,2022-01-23,56+,Marketing
USR-0091,CRS-0070,3,2022-11-24,56+,Programming
USR-0090,CRS-0029,3,2022-12-23,36-45,Business
USR-0062,CRS-0040,4,2023-08-22,46-55,Marketing
USR-0083,CRS-0071,2,2023-06-04,26-35,Business
USR-0036,CRS-0036,3,2024-08-03,26-35,Programming
USR-0023,CRS-0030,,2024-05-02,56+,Programming
USR-0032,CRS-0026,5,2023-06-12,46-55,DataScience
USR-0036,CRS-0046,3,2022-11-30,26-35,Business
USR-0041,CRS-0047,3,2024-10-19,18-25,Programming
USR-0066,CRS-0002,2,2022-02-11,18-25,Marketing
USR-0095,CRS-0046,4,2022-01-16,46-55,Design
USR-0071,CRS-0011,4,2022-04-15,46-55,Programming
USR-0075,CRS-0046,4,2023-02-06,56+,Programming
USR-0092,CRS-0012,5,2024-03-09,36-45,Business
USR-0061,CRS-0059,3,2024-02-01,36-45,Business
USR-0086,CRS-0035,3,2025-04-20,36-45,DataScience
USR-0091,CRS-0055,5,2025-05-05,18-25,Design
USR-0042,CRS-0067,5,2024-11-09,26-35,Design
USR-0050,CRS-0055,5,2022-09-15,56+,Marketing
USR-0072,CRS-0010,3,2023-10-09,36-45,Programming
USR-0033,CRS-0070,1,2025-06-13,26-35,Programming
USR-0091,CRS-0060,4,2024-04-22,18-25,Business
USR-0015,CRS-0030,1,2024-04-04,36-45,Business
USR-0079,CRS-0027,3,2025-10-03,18-25,Business
USR-0100,CRS-0055,4,2023-02-12,46-55,Programming
USR-0028,CRS-0037,3,2024-08-26,36-45,Business
USR-0083,CRS-0001,4,2025-02-01,26-35,Programming
USR-0043,CRS-0029,5,2023-06-14,46-55,Business
USR-0093,CRS-0045,2,2024-06-13,46-55,Programming
USR-0100,CRS-0015,4,2024-07-08,46-55,Business
USR-0021,CRS-0021,4,2025-09-08,46-55,Programming
USR-0059,CRS-0066,5,2025-08-23,36-45,DataScience
USR-0069,CRS-0069,4,2025-10-31,56+,Business
USR-0024,CRS-0034,3,2024-10-21,36-45,Programming
USR-0049,CRS-0004,,2022-12-03,26-35,DataScience
USR-0035,CRS-0030,5,2024-06-13,18-25,Marketing
USR-0078,CRS-0002,5,2024-03-10,56+,DataScience
USR-0061,CRS-0013,5,2025-12-05,18-25,Design
USR-0064,CRS-0013,,2024-06-12,18-25,Design
USR-0065,CRS-0040,3,2024-05-18,56+,Business
USR-0008,CRS-0037,2,2025-09-02,46-55,Marketing
USR-0083,CRS-0071,3,2023-12-31,18-25,Design
USR-0100,CRS-0010,3,2025-12-06,56+,Marketing
USR-0068,CRS-0032,4,2023-05-29,18-25,Programming
USR-0058,CRS-0023,4,2024-09-30,56+,Programming
USR-0054,CRS-0065,4,2023-01-18,26-35,Business
USR-0013,CRS-0041,4,2025-07-27,36-45,DataScience
USR-0074,CRS-0064,3,2023-06-27,46-55,Business
USR-0061,CRS-0008,4,2025-11-14,56+,DataScience
USR-0068,CRS-0068,2,2023-08-03,56+,Programming
USR-0031,CRS-0037,3,2023-02-16,26-35,Design
USR-0007,CRS-0074,4,2022-09-17,26-35,Programming
USR-0052,CRS-0006,,2025-06-09,56+,DataScience
USR-0003,CRS-0076,4,2024-06-21,56+,Design
USR-0005,CRS-0019,3,2025-05-09,46-55,Marketing
USR-0028,CRS-0011,4,2025-06-03,56+,Business
USR-0099,CRS-0013,5,2024-12-25,56+,Programming
USR-0098,CRS-0021,5,2022-03-27,26-35,DataScience
USR-0062,CRS-0052,4,2022-07-23,26-35,Design
USR-0007,CRS-0014,3,2022-01-07,56+,Marketing
USR-0042,CRS-0019,4,2023-02-05,56+,Design
USR-0103,CRS-0021,3,2023-07-21,46-55,Business
USR-0012,CRS-0056,3,2024-06-26,56+,Programming
USR-0038,CRS-0055,,2025-09-29,46-55,Design
USR-0097,CRS-0057,5,2023-03-13,36-45,Marketing
USR-0016,CRS-0001,1,2023-10-11,18-25,Business
USR-0065,CRS-0076,3,2023-07-05,26-35,DataScience
USR-0082,CRS-0064,5,2022-06-15,36-45,Design
USR-0003,CRS-0027,3,2023-01-21,36-45,Design
USR-0007,CRS-0046,5,2023-05-27,46-55,Design
USR-0030,CRS-0036,5,2022-03-10,56+,Design
USR-0009,CRS-0052,4,2023-01-20,46-55,Design
USR-0029,CRS-0031,5,2023-11-22,56+,Design
USR-0057,CRS-0029,4,2023-02-17,36-45,Design
USR-0032,CRS-0026,5,2022-02-13,18-25,Business
USR-0077,CRS-0016,4,2025-06-05,46-55,Programming
USR-0002,CRS-0056,5,2022-05-11,56+,Marketing
USR-0043,CRS-0031,5,2025-02-10,46-55,Programming
USR-0075,CRS-0026,4,2025-01-02,36-45,DataScience
USR-0033,CRS-0047,5,2024-06-09,36-45,DataScience
USR-0028,CRS-0023,3,2022-12-24,18-25,Marketing
USR-0002,CRS-0056,5,2022-05-02,46-55,Business
USR-0048,CRS-0034,3,2022-08-19,26-35,Programming
USR-0100,CRS-0033,2,2022-01-24,18-25,DataScience
USR-0001,CRS-0040,3,2023-07-20,18-25,Business
USR-0082,CRS-0060,3,2024-05-05,26-35,Marketing
USR-0085,CRS-0015,5,2024-02-14,46-55,DataScience
USR-0001,CRS-0064,4,2024-11-17,18-25,Programming
USR-0084,CRS-0018,2,2023-04-07,26-35,Business
USR-0087,CRS-0060,5,2024-11-05,46-55,Programming
USR-0068,CRS-0025,3,2024-07-27,18-25,Marketing
USR-0091,CRS-0057,4,2022-07-14,36-45,Marketing
