UserId,ItemId,Rating,Timestamp,UserAgeGroup,ItemCategory
USR-0045,MOV-0059,3,2025-06-14,56+,Drama
USR-0148,MOV-0021,2,2024-04-21,36-45,Drama
USR-0152,MOV-0048,2,2025-03-31,18-25,SciFi
USR-0073,MOV-0013,5,2025-04-28,26-35,Action
USR-0011,MOV-0045,2,2024-09-23,18-25,Action
USR-0030,MOV-0044,3,2024-05-04,26-35,Comedy
USR-0137,MOV-0053,5,2022-01-20,46-55,Horror
USR-0068,MOV-0019,5,2025-09-26,46-55,Horror
USR-0091,MOV-0019,4,2023-11-22,56+,Horror
USR-0065,MOV-0012,4,2024-11-08,36-45,Drama
USR-0005,MOV-0049,3,2024-10-22,18-25,Drama
USR-0013,MOV-0060,3,2025-09-30,56+,SciFi
USR-0164,MOV-0065,2,2022-05-11,36-45,Action
USR-0030,MOV-0052,4,2025-02-14,56+,SciFi
USR-0143,MOV-0016,3,2025-07-19,18-25,Drama
USR-0047,MOV-0028,3,2025-11-14,18-25,Action
USR-0078,MOV-0064,4,2023-05-30,46-55,Horror
USR-0090,MOV-0052,4,2024-10-22,36-45,SciFi
USR-0151,MOV-0019,4,2023-05-29,36-45,Horror
USR-0144,MOV-0018,4,2024-02-12,36-45,Comedy
USR-0012,MOV-0001,4,2025-09-18,18-25,Comedy
USR-0053,MOV-0035,2,2025-10-24,18-25,Drama
USR-0157,MOV-0058,5,2022-03-03,36-45,SciFi
USR-0049,MOV-0055,2,2023-02-01,46-55,Action
USR-0089,MOV-0003,4,2023-02-28,56+,Comedy
USR-0136,MOV-0010,5,2025-04-22,46-55,SciFi
USR-0162,MOV-0002,,2024-09-15,26-35,Drama
USR-0072,MOV-0008,3,2025-12-15,46-55,Drama
USR-0130,MOV-0050,3,2022-12-31,46-55,Drama
USR-0151,MOV-0066,4,2024-02-27,46-55,Comedy
USR-0098,MOV-0036,4,2023-04-11,56+,SciFi
USR-0108,MOV-0046,2,2024-03-02,18-25,Horror
USR-0159,MOV-0047,4,2024-05-01,46-55,Comedy
USR-0027,MOV-0022,3,2024-02-16,36-45,Horror
USR-0154,MOV-0010,5,2023-03-19,56+,Action
USR-0059,MOV-0024,4,2024-01-18,18-25,Action
USR-0163,MOV-0048,3,2022-02-23,56+,Comedy
USR-0035,MOV-0013,5,2023-06-01,18-25,Drama
USR-0011,MOV-0040,2,2022-05-24,46-55,Drama
USR-0026,MOV-0052,,2022-05-21,46-55,Action
USR-0089,MOV-0020,5,2024-01-31,18-25,Drama
USR-0139,MOV-0013,4,2024-02-26,26-35,Drama
USR-0034,MOV-0020,2,2023-04-16,18-25,Action
USR-0045,MOV-0034,2,2024-01-27,18-25,Comedy
USR-0161,MOV-0003,4,2024-05-20,56+,Drama
USR-0152,MOV-0020,3,2025-02-01,18-25,Drama
USR-0069,MOV-0067,3,2025-03-04,36-45,SciFi
USR-0124,MOV-0041,,2023-12-28,26-35,Action
USR-0003,MOV-0025,5,2025-04-12,56+,Drama
USR-0138,MOV-0016,3,2022-02-08,46-55,Horror
