UserId,ItemId,Rating,Timestamp,UserAgeGroup,ItemCategory
USR-0144,PRD-0039,3,2024-11-18,26-35,Clothing
USR-0009,PRD-0042,4,2025-11-19,26-35,Home
USR-0148,PRD-0047,4,2023-02-14,46-55,Clothing
USR-0178,PRD-0058,3,2022-03-10,26-35,Home
USR-0046,PRD-0051,4,2022-09-19,36-45,Home
USR-0073,PRD-0039,4,2022-01-15,18-25,Electronics
USR-0050,PRD-0045,,2025-01-05,56+,Home
USR-0137,PRD-0022,4,2024-11-20,36-45,Clothing
USR-0082,PRD-0025,3,2023-03-20,26-35,Electronics
USR-0001,PRD-0011,3,2023-01-10,46-55,Sports
USR-0012,PRD-0059,4,2023-02-03,36-45,Home
USR-0177,PRD-0017,2,2022-03-09,46-55,Clothing
USR-0088,PRD-0061,3,2025-07-23,36-45,Electronics
USR-0131,PRD-0033,4,2024-11-07,56+,Sports
USR-0011,PRD-0060,3,2022-01-17,18-25,Books
USR-0129,PRD-0020,4,2025-05-12,18-25,Home
USR-0086,PRD-0045,4,2022-04-20,36-45,Books
USR-0178,PRD-0002,3,2024-09-28,46-55,Sports
USR-0049,PRD-0031,2,2023-02-23,56+,Sports
USR-0083,PRD-0004,3,2023-03-10,36-45,Sports
USR-0058,PRD-0022,,2023-02-28,46-55,Home
USR-0082,PRD-0053,2,2025-01-01,56+,Books
USR-0062,PRD-0043,4,2025-04-13,26-35,Home
USR-0179,PRD-0062,4,2025-05-06,26-35,Sports
USR-0068,PRD-0021,4,2023-03-09,26-35,Electronics
USR-0151,PRD-0026,2,2022-04-25,26-35,Electronics
USR-0031,PRD-0011,,2025-09-01,18-25,Electronics
USR-0068,PRD-0044,,2024-02-21,26-35,Books
USR-0114,PRD-0048,,2024-01-31,56+,Books
USR-0033,PRD-0026,5,2024-06-08,26-35,Sports
USR-0092,PRD-0002,5,2025-09-21,26-35,Clothing
USR-0133,PRD-0050,3,2024-11-21,26-35,Books
USR-0083,PRD-0041,3,2022-08-08,46-55,Electronics
USR-0157,PRD-0021,2,2022-02-03,46-55,Electronics
USR-0062,PRD-0021,4,2024-12-05,36-45,Books
USR-0116,PRD-0013,3,2023-10-09,18-25,Clothing
USR-0059,PRD-0033,2,2025-06-07,36-45,Home
USR-0186,PRD-0032,4,2022-11-17,18-25,Books
USR-0106,PRD-0018,4,2024-02-02,56+,Home
USR-0184,PRD-0035,4,2024-06-21,46-55,Sports
USR-0016,PRD-0053,5,2024-02-21,18-25,Books
USR-0044,PRD-0017,4,2022-06-16,56+,Clothing
USR-0047,PRD-0013,2,2025-06-12,18-25,Clothing
USR-0047,PRD-0006,5,2024-10-28,36-45,Sports
USR-0116,PRD-0049,3,2025-02-17,56+,Electronics
USR-0143,PRD-0002,5,2022-10-09,56+,Clothing
USR-0055,PRD-0018,2,2024-06-01,18-25,Sports
USR-0157,PRD-0023,4,2024-10-08,26-35,Sports
USR-0085,PRD-0019,3,2023-06-17,36-45,Books
USR-0111,PRD-0034,5,2024-09-20,46-55,Books
USR-0065,PRD-0015,3,2022-08-21,26-35,Electronics
USR-0139,PRD-0032,5,2022-03-31,18-25,Books
USR-0074,PRD-0008,2,2022-07-31,18-25,Electronics
USR-0004,PRD-0031,4,2022-09-13,46-55,Books
USR-0172,PRD-0006,5,2024-06-08,46-55,Sports
USR-0100,PRD-0008,2,2022-10-20,46-55,Clothing
USR-0056,PRD-0047,3,2022-04-11,18-25,Electronics
USR-0037,PRD-0046,3,2023-08-28,36-45,Clothing
USR-0179,PRD-0039,4,2023-05-15,18-25,Sports
USR-0109,PRD-0002,2,2024-08-01,46-55,Books
USR-0123,PRD-0061,,2025-01-05,56+,Clothing
USR-0072,PRD-0048,3,2025-03-04,18-25,Books
USR-0082,PRD-0045,2,2022-12-17,56+,Sports
USR-0044,PRD-0010,3,2022-02-02,18-25,Clothing
USR-0106,PRD-0020,4,2025-05-10,18-25,Clothing
USR-0061,PRD-0011,3,2024-11-08,26-35,Sports
USR-0072,PRD-0050,3,2024-08-02,18-25,Clothing
USR-0150,PRD-0007,3,2025-02-09,26-35,Electronics
USR-0029,PRD-0013,3,2023-07-14,56+,Electronics
USR-0078,PRD-0054,4,2023-06-26,46-55,Books
USR-0122,PRD-0057,4,2025-05-22,46-55,Home
USR-0070,PRD-0004,,2022-08-03,46-55,Clothing
USR-0061,PRD-0033,3,2025-04-04,36-45,Books
USR-0124,PRD-0058,3,2024-12-21,46-55,Books
USR-0063,PRD-0028,3,2023-08-03,18-25,Clothing
USR-0047,PRD-0010,3,2024-09-10,18-25,Books
USR-0054,PRD-0028,4,2025-03-16,18-25,Home
USR-0084,PRD-0022,3,2022-05-23,18-25,Clothing
USR-0025,PRD-0002,4,2025-02-15,26-35,Sports
USR-0170,PRD-0053,3,2022-05-24,56+,Clothing
USR-0033,PRD-0014,3,2022-01-15,26-35,Home
USR-0050,PRD-0034,2,2022-01-19,26-35,Sports
USR-0007,PRD-0029,3,2023-01-17,36-45,Sports
USR-0043,PRD-0019,3,2022-12-25,56+,Books
USR-0104,PRD-0056,4,2025-12-05,46-55,Sports
USR-0051,PRD-0019,3,2022-11-22,26-35,Home
USR-0012,PRD-0035,3,2023-09-11,36-45,Books
USR-0154,PRD-0043,3,2023-06-19,36-45,Books
USR-0098,PRD-0028,4,2023-12-06,36-45,Home
USR-0082,PRD-0001,4,2022-12-07,46-55,Clothing
USR-0057,PRD-0061,5,2022-03-25,26-35,Electronics
USR-0032,PRD-0016,4,2025-11-20,36-45,Books
USR-0031,PRD-0050,5,2023-04-20,26-35,Clothing
USR-0151,PRD-0035,3,2022-08-12,26-35,Books
USR-0148,PRD-0004,3,2025-05-04,46-55,Books
USR-0116,PRD-0008,2,2025-11-19,36-45,Clothing
USR-0184,PRD-0040,5,2025-12-14,56+,Clothing
USR-0024,PRD-0043,5,2024-01-16,56+,Electronics
USR-0178,PRD-0003,4,2025-11-21,18-25,Clothing
USR-0014,PRD-0001,1,2023-01-10,18-25,Books
USR-0007,PRD-0003,4,2025-08-30,56+,Electronics
USR-0155,PRD-0028,4,2025-02-25,18-25,Electronics
USR-0028,PRD-0062,3,2023-07-21,46-55,Sports
USR-0003,PRD-0043,5,2024-05-01,46-55,Sports
USR-0069,PRD-0033,5,2024-06-15,18-25,Books
USR-0080,PRD-0047,3,2025-11-21,26-35,Books
USR-0109,PRD-0026,2,2025-04-20,26-35,Clothing
USR-0121,PRD-0036,5,2022-02-07,56+,Electronics
USR-0077,PRD-0033,3,2025-10-07,26-35,Books
USR-0145,PRD-0047,2,2025-07-24,36-45,Electronics
USR-0133,PRD-0020,4,2022-02-10,18-25,Home
USR-0001,PRD-0026,4,2025-07-14,56+,Sports
USR-0082,PRD-0044,4,2025-12-06,36-45,Home
USR-0090,PRD-0034,4,2025-06-26,36-45,Books
USR-0007,PRD-0005,4,2024-06-29,46-55,Home
USR-0192,PRD-0007,4,2023-07-11,56+,Home
USR-0162,PRD-0002,4,2022-06-27,46-55,Sports
USR-0144,PRD-0022,4,2022-09-20,26-35,Electronics
USR-0101,PRD-0038,3,2023-03-22,36-45,Home
USR-0165,PRD-0030,4,2024-03-30,18-25,Clothing
USR-0191,PRD-0040,4,2022-08-02,56+,Sports
USR-0021,PRD-0043,5,2022-06-15,56+,Home
USR-0061,PRD-0043,3,2024-01-27,56+,Sports
USR-0020,PRD-0052,5,2025-04-11,26-35,Sports
USR-0186,PRD-0010,3,2024-12-29,18-25,Clothing
USR-0061,PRD-0062,4,2023-07-09,56+,Home
USR-0107,PRD-0038,,2022-04-02,18-25,Books
USR-0137,PRD-0028,2,2023-07-02,56+,Books
USR-0062,PRD-0033,3,2024-05-12,46-55,Books
USR-0047,PRD-0015,4,2025-08-27,18-25,Home
USR-0018,PRD-0020,2,2024-02-21,56+,Home
USR-0183,PRD-0060,4,2025-07-03,36-45,Books
USR-0139,PRD-0002,5,2024-10-04,36-45,Home
USR-0169,PRD-0039,4,2023-01-20,18-25,Books
USR-0022,PRD-0007,4,2025-05-02,26-35,Clothing
USR-0124,PRD-0017,3,2024-04-13,46-55,Electronics
USR-0025,PRD-0053,4,2024-01-23,46-55,Home
USR-0129,PRD-0017,3,2022-02-06,18-25,Electronics
USR-0101,PRD-0006,4,2024-03-29,56+,Clothing
USR-0081,PRD-0034,3,2025-04-05,36-45,Electronics
USR-0167,PRD-0038,1,2025-04-22,56+,Electronics
USR-0049,PRD-0043,,2022-08-24,18-25,Sports
USR-0162,PRD-0017,,2025-09-06,26-35,Home
USR-0002,PRD-0018,3,2025-08-05,18-25,Sports
USR-0057,PRD-0009,2,2025-07-19,56+,Home
USR-0187,PRD-0044,3,2024-09-20,46-55,Sports
USR-0055,PRD-0026,1,2024-04-13,26-35,Books
USR-0083,PRD-0035,,2025-03-13,18-25,Electronics
USR-0083,PRD-0053,,2025-11-15,26-35,Sports
USR-0035,PRD-0039,4,2023-04-01,46-55,Clothing
USR-0094,PRD-0050,2,2024-07-18,18-25,Books
USR-0177,PRD-0062,3,2024-08-04,36-45,Sports
USR-0107,PRD-0050,3,2022-06-19,56+,Electronics
USR-0079,PRD-0059,3,2023-01-11,36-45,Clothing
USR-0168,PRD-0019,4,2024-10-09,18-25,Books
USR-0163,PRD-0007,,2022-12-02,56+,Sports
USR-0078,PRD-0017,3,2023-03-30,26-35,Sports
USR-0115,PRD-0033,2,2022-10-02,46-55,Books
USR-0059,PRD-0011,4,2022-10-18,26-35,Electronics
USR-0086,PRD-0013,3,2022-05-02,36-45,Electronics
USR-0146,PRD-0041,2,2025-08-13,56+,Clothing
USR-0029,PRD-0058,2,2023-09-20,18-25,Sports
USR-0003,PRD-0046,3,2023-09-23,18-25,Sports
USR-0041,PRD-0062,5,2023-05-03,36-45,Clothing
USR-0012,PRD-0040,5,2025-10-16,26-35,Sports
USR-0059,PRD-0019,2,2023-05-23,56+,Electronics
USR-0101,PRD-0002,2,2024-10-25,56+,Sports
USR-0158,PRD-0028,3,2023-05-17,36-45,Sports
USR-0161,PRD-0062,4,2025-10-10,18-25,Home
USR-0127,PRD-0011,,2023-02-26,36-45,Home
USR-0118,PRD-0037,4,2024-07-10,26-35,Sports
USR-0182,PRD-0031,3,2022-11-30,56+,Clothing
USR-0150,PRD-0013,3,2024-02-01,26-35,Home
USR-0140,PRD-0031,2,2024-07-22,46-55,Clothing
USR-0075,PRD-0023,5,2022-07-24,18-25,Clothing
USR-0150,PRD-0045,5,2022-02-17,18-25,Electronics
USR-0128,PRD-0034,4,2022-05-20,46-55,Clothing
USR-0165,PRD-0042,4,2024-04-20,56+,Sports
USR-0114,PRD-0002,3,2025-05-04,26-35,Home
USR-0174,PRD-0019,5,2025-06-11,46-55,Home
USR-0015,PRD-0012,3,2022-09-26,36-45,Clothing
USR-0102,PRD-0036,3,2025-11-01,18-25,Clothing
USR-0012,PRD-0041,4,2024-02-12,18-25,Electronics
USR-0127,PRD-0047,5,2024-05-09,46-55,Sports
USR-0181,PRD-0026,4,2023-04-17,18-25,Home
USR-0053,PRD-0022,4,2025-09-30,36-45,Sports
USR-0062,PRD-0042,2,2024-06-30,18-25,Books
USR-0093,PRD-0002,3,2023-04-10,36-45,Electronics
USR-0154,PRD-0041,4,2022-10-23,46-55,Home
USR-0141,PRD-0017,5,2022-08-13,26-35,Clothing
USR-0151,PRD-0010,3,2022-01-06,46-55,Home
USR-0099,PRD-0044,3,2023-04-13,26-35,Electronics
USR-0124,PRD-0060,4,2025-10-09,36-45,Home
USR-0173,PRD-0021,3,2024-02-02,46-55,Books
USR-0175,PRD-0003,4,2023-11-16,36-45,Electronics
USR-0021,PRD-0048,5,2022-09-17,36-45,Sports
USR-0187,PRD-0052,3,2025-02-26,36-45,Books
USR-0019,PRD-0027,,2022-09-16,26-35,Sports
USR-0067,PRD-0021,4,2022-03-29,26-35,Clothing
USR-0044,PRD-0021,4,2022-12-15,46-55,Sports
USR-0060,PRD-0001,3,2024-05-11,26-35,Clothing
USR-0075,PRD-0052,3,2024-12-04,18-25,Clothing
USR-0060,PRD-0055,3,2023-03-23,26-35,Home
USR-0070,PRD-0009,4,2025-03-14,18-25,Books
USR-0128,PRD-0060,3,2023-01-02,26-35,Clothing
USR-0018,PRD-0049,4,2023-04-23,46-55,Home
USR-0148,PRD-0057,5,2025-09-12,26-35,Clothing
USR-0038,PRD-0053,,2023-09-20,26-35,Sports
USR-0019,PRD-0033,5,2025-10-28,18-25,Books
USR-0076,PRD-0008,2,2024-07-15,56+,Books
USR-0175,PRD-0018,4,2023-04-24,46-55,Home
USR-0044,PRD-0021,4,2022-02-23,18-25,Home
USR-0177,PRD-0016,4,2024-12-30,36-45,Electronics
USR-0030,PRD-0009,,2023-06-22,36-45,Home
