UserId,ItemId,Rating,Timestamp,UserAgeGroup,ItemCategory
USR-0039,RST-0001,3,2024-09-08,26-35,Mexican
USR-0040,RST-0037,5,2023-03-01,36-45,Mexican
USR-0084,RST-0012,2,2023-01-01,36-45,Asian
USR-0087,RST-0040,3,2023-05-05,18-25,Mexican
USR-0041,RST-0043,4,2023-01-04,56+,Mexican
USR-0016,RST-0011,5,2024-08-23,46-55,Mexican
USR-0090,RST-0020,4,2023-08-20,56+,Asian
USR-0091,RST-0002,5,2025-10-03,36-45,Mexican
USR-0057,RST-0026,3,2025-04-24,18-25,Asian
USR-0015,RST-0045,4,2023-08-26,26-35,Asian
USR-0006,RST-0028,3,2025-07-03,26-35,Mexican
USR-0057,RST-0014,4,2023-05-19,26-35,Indian
USR-0062,RST-0011,1,2024-12-21,56+,Asian
USR-0018,RST-0033,3,2025-07-09,36-45,Mexican
USR-0082,RST-0039,3,2025-10-14,18-25,Italian
USR-0049,RST-0006,4,2024-09-21,26-35,Indian
USR-0015,RST-0019,5,2024-02-25,56+,Italian
USR-0066,RST-0039,1,2024-04-18,18-25,Mexican
USR-0045,RST-0036,3,2025-12-17,56+,American
USR-0093,RST-0032,5,2024-07-26,46-55,Italian
USR-0037,RST-0040,4,2024-01-17,36-45,Mexican
USR-0017,RST-0024,3,2024-02-18,18-25,American
USR-0093,RST-0003,3,2025-07-16,36-45,Mexican
USR-0073,RST-0040,3,2022-08-25,36-45,Asian
USR-0061,RST-0017,5,2025-03-06,46-55,Italian
USR-0077,RST-0035,5,2022-08-04,56+,Italian
USR-0018,RST-0007,5,2025-10-19,56+,Mexican
USR-0038,RST-0011,4,2024-12-25,46-55,American
USR-0058,RST-0021,4,2023-11-02,56+,Indian
USR-0063,RST-0042,3,2024-03-13,46-55,American
USR-0083,RST-0001,3,2024-04-04,26-35,Mexican
USR-0031,RST-0003,,2025-01-25,36-45,Italian
USR-0017,RST-0023,3,2022-07-10,56+,Asian
USR-0047,RST-0036,3,2022-03-30,46-55,Italian
USR-0027,RST-0015,,2024-03-01,36-45,Mexican
USR-0022,RST-0029,3,2022-11-12,18-25,Italian
USR-0006,RST-0038,,2023-02-17,26-35,Indian
USR-0071,RST-0040,5,2022-11-25,36-45,Italian
USR-0024,RST-0042,5,2023-12-06,26-35,Asian
USR-0018,RST-0041,4,2022-12-27,26-35,Indian
USR-0081,RST-0003,4,2024-07-06,36-45,Asian
USR-0081,RST-0033,4,2022-09-13,46-55,Asian
USR-0092,RST-0029,2,2022-04-23,36-45,Indian
USR-0026,RST-0044,5,2023-03-16,26-35,Italian
USR-0082,RST-0038,3,2022-01-05,56+,American
USR-0012,RST-0005,4,2025-10-17,56+,Indian
USR-0075,RST-0002,3,2022-03-05,56+,Indian
