RecordId,Timestamp,Region,DayOfWeek,IsHoliday,CommodityPrice
TS-000001,2022-01-01,Central,Sat,0,1462
TS-000002,2022-01-02,Central,Sun,0,-1693
TS-000003,2022-01-03,Central,Mon,0,3845
TS-000004,2022-01-04,North,Tue,0,902
TS-000005,2022-01-05,West,Wed,0,1289
TS-000006,2022-01-06,East,Thu,0,1772
TS-000007,2022-01-07,North,Fri,0,5199
TS-000008,2022-01-08,East,Sat,0,3868
TS-000009,2022-01-09,Central,Sun,0,4539
TS-000010,2022-01-10,East,Mon,0,3354
TS-000011,2022-01-11,East,Tue,0,4520
TS-000012,2022-01-12,North,Wed,0,5446
TS-000013,2022-01-13,Central,Thu,0,7971
TS-000014,2022-01-14,Central,Fri,0,4416
TS-000015,2022-01-15,West,Sat,0,5651
TS-000016,2022-01-16,East,Sun,0,4460
TS-000017,2022-01-17,South,Mon,0,7192
TS-000018,2022-01-18,North,Tue,1,3427
TS-000019,2022-01-19,North,Wed,0,7224
TS-000020,2022-01-20,Central,Thu,0,6047
TS-000021,2022-01-21,Central,Fri,0,4993
TS-000022,2022-01-22,Central,Sat,0,7250
TS-000023,2022-01-23,Central,Sun,0,4914
TS-000024,2022-01-24,North,Mon,0,5321
TS-000025,2022-01-25,East,Tue,0,2724
TS-000026,2022-01-26,Central,Wed,0,3172
TS-000027,2022-01-27,East,Thu,0,2485
TS-000028,2022-01-28,East,Fri,0,5353
TS-000029,2022-01-29,Central,Sat,0,1287
TS-000030,2022-01-30,West,Sun,0,2691
TS-000031,2022-01-31,Central,Mon,0,1023
TS-000032,2022-02-01,East,Tue,0,-1261
TS-000033,2022-02-02,East,Wed,0,-3928
TS-000034,2022-02-03,South,Thu,0,-1233
TS-000035,2022-02-04,West,Fri,0,-955
TS-000036,2022-02-05,East,Sat,0,-3342
TS-000037,2022-02-06,North,Sun,0,-133
TS-000038,2022-02-07,North,Mon,0,-347
TS-000039,2022-02-08,East,Tue,0,-5537
TS-000040,2022-02-09,North,Wed,0,-4521
TS-000041,2022-02-10,West,Thu,0,-2424
TS-000042,2022-02-11,South,Fri,0,-5043
TS-000043,2022-02-12,North,Sat,0,-7617
TS-000044,2022-02-13,West,Sun,0,-5721
TS-000045,2022-02-14,South,Mon,0,-5689
TS-000046,2022-02-15,West,Tue,1,-4443
TS-000047,2022-02-16,West,Wed,0,-4733
TS-000048,2022-02-17,West,Thu,0,-5686
TS-000049,2022-02-18,East,Fri,0,-5555
TS-000050,2022-02-19,West,Sat,1,-5768
TS-000051,2022-02-20,North,Sun,0,-4813
TS-000052,2022-02-21,Central,Mon,0,-3293
TS-000053,2022-02-22,South,Tue,0,-5193
TS-000054,2022-02-23,West,Wed,1,-5192
TS-000055,2022-02-24,Central,Thu,0,-2254
TS-000056,2022-02-25,South,Fri,0,-1608
TS-000057,2022-02-26,East,Sat,0,323
TS-000058,2022-02-27,West,Sun,0,-463
TS-000059,2022-02-28,Central,Mon,0,-2368
TS-000060,2022-03-01,Central,Tue,0,1349
TS-000061,2022-03-02,South,Wed,0,-126
TS-000062,2022-03-03,Central,Thu,0,912
TS-000063,2022-03-04,East,Fri,0,1461
TS-000064,2022-03-05,West,Sat,0,-414
TS-000065,2022-03-06,East,Sun,0,2850
TS-000066,2022-03-07,West,Mon,0,3505
TS-000067,2022-03-08,West,Tue,0,2314
TS-000068,2022-03-09,West,Wed,0,3970
TS-000069,2022-03-10,Central,Thu,0,4265
TS-000070,2022-03-11,East,Fri,0,6981
TS-000071,2022-03-12,West,Sat,0,6534
TS-000072,2022-03-13,East,Sun,0,7097
TS-000073,2022-03-14,South,Mon,0,6190
TS-000074,2022-03-15,North,Tue,0,5491
TS-000075,2022-03-16,North,Wed,0,7507
TS-000076,2022-03-17,Central,Thu,0,4705
TS-000077,2022-03-18,Central,Fri,0,4746
TS-000078,2022-03-19,North,Sat,0,7985
TS-000079,2022-03-20,North,Sun,0,6718
TS-000080,2022-03-21,Central,Mon,0,7395
TS-000081,2022-03-22,North,Tue,0,7791
TS-000082,2022-03-23,East,Wed,0,6410
TS-000083,2022-03-24,East,Thu,0,5109
TS-000084,2022-03-25,North,Fri,0,683
TS-000085,2022-03-26,North,Sat,0,4633
TS-000086,2022-03-27,South,Sun,0,4409
TS-000087,2022-03-28,North,Mon,0,2368
TS-000088,2022-03-29,North,Tue,0,3155
TS-000089,2022-03-30,West,Wed,0,572
TS-000090,2022-03-31,North,Thu,0,967
TS-000091,2022-04-01,Central,Fri,0,3000
TS-000092,2022-04-02,Central,Sat,0,-71
TS-000093,2022-04-03,Central,Sun,0,-823
TS-000094,2022-04-04,North,Mon,0,-502
TS-000095,2022-04-05,South,Tue,0,747
TS-000096,2022-04-06,East,Wed,0,-2527
TS-000097,2022-04-07,East,Thu,0,-4204
TS-000098,2022-04-08,South,Fri,0,-2741
TS-000099,2022-04-09,West,Sat,0,-3280
TS-000100,2022-04-10,South,Sun,0,-4563
TS-000101,2022-04-11,West,Mon,0,-5304
TS-000102,2022-04-12,Central,Tue,0,-6025
TS-000103,2022-04-13,North,Wed,0,-6335
TS-000104,2022-04-14,East,Thu,0,-4923
TS-000105,2022-04-15,North,Fri,0,-4479
TS-000106,2022-04-16,West,Sat,0,-5534
TS-000107,2022-04-17,West,Sun,0,-6154
TS-000108,2022-04-18,East,Mon,0,-6886
TS-000109,2022-04-19,South,Tue,1,-6044
TS-000110,2022-04-20,Central,Wed,0,-6251
TS-000111,2022-04-21,South,Thu,0,-6423
TS-000112,2022-04-22,South,Fri,0,-5931
TS-000113,2022-04-23,East,Sat,0,-4667
TS-000114,2022-04-24,South,Sun,0,-2913
TS-000115,2022-04-25,Central,Mon,0,-3416
TS-000116,2022-04-26,West,Tue,0,104
TS-000117,2022-04-27,Central,Wed,0,1366
TS-000118,2022-04-28,North,Thu,0,-1901
TS-000119,2022-04-29,West,Fri,0,2763
TS-000120,2022-04-30,West,Sat,0,1546
TS-000121,2022-05-01,Central,Sun,0,1333
TS-000122,2022-05-02,West,Mon,0,1317
TS-000123,2022-05-03,North,Tue,0,3043
TS-000124,2022-05-04,West,Wed,0,2409
TS-000125,2022-05-05,West,Thu,0,4972
TS-000126,2022-05-06,South,Fri,0,2188
TS-000127,2022-05-07,Central,Sat,0,3382
TS-000128,2022-05-08,South,Sun,0,4043
TS-000129,2022-05-09,South,Mon,1,7586
TS-000130,2022-05-10,West,Tue,0,6866
TS-000131,2022-05-11,North,Wed,0,6230
TS-000132,2022-05-12,South,Thu,0,6834
TS-000133,2022-05-13,South,Fri,0,5136
