RecordId,Timestamp,Region,DayOfWeek,IsHoliday,InboundCallCount
TS-000001,2022-01-01,South,Sat,0,4980
TS-000002,2022-01-02,South,Sun,0,3533
TS-000003,2022-01-03,North,Mon,0,6344
TS-000004,2022-01-04,North,Tue,0,4267
TS-000005,2022-01-05,West,Wed,0,4689
TS-000006,2022-01-06,West,Thu,0,4250
TS-000007,2022-01-07,South,Fri,0,5171
TS-000008,2022-01-08,South,Sat,0,4887
TS-000009,2022-01-09,North,Sun,0,5865
TS-000010,2022-01-10,West,Mon,1,8196
TS-000011,2022-01-11,South,Tue,0,6414
TS-000012,2022-01-12,Central,Wed,0,5366
TS-000013,2022-01-13,Central,Thu,0,5863
TS-000014,2022-01-14,West,Fri,0,4663
TS-000015,2022-01-15,East,Sat,0,6586
TS-000016,2022-01-16,West,Sun,0,5483
TS-000017,2022-01-17,North,Mon,0,5710
TS-000018,2022-01-18,East,Tue,0,6108
TS-000019,2022-01-19,East,Wed,0,5266
TS-000020,2022-01-20,South,Thu,0,5924
TS-000021,2022-01-21,North,Fri,0,4400
TS-000022,2022-01-22,Central,Sat,1,4578
TS-000023,2022-01-23,West,Sun,0,6394
TS-000024,2022-01-24,East,Mon,0,7397
TS-000025,2022-01-25,Central,Tue,0,4712
TS-000026,2022-01-26,South,Wed,0,5900
TS-000027,2022-01-27,West,Thu,0,3559
TS-000028,2022-01-28,East,Fri,0,6323
TS-000029,2022-01-29,Central,Sat,0,4575
TS-000030,2022-01-30,North,Sun,0,4711
TS-000031,2022-01-31,Central,Mon,0,6737
TS-000032,2022-02-01,North,Tue,0,3907
TS-000033,2022-02-02,South,Wed,0,3568
TS-000034,2022-02-03,North,Thu,0,3841
TS-000035,2022-02-04,East,Fri,0,3142
TS-000036,2022-02-05,West,Sat,0,3209
TS-000037,2022-02-06,South,Sun,0,3698
TS-000038,2022-02-07,South,Mon,0,5789
TS-000039,2022-02-08,Central,Tue,0,3600
TS-000040,2022-02-09,West,Wed,0,3217
TS-000041,2022-02-10,South,Thu,0,4036
TS-000042,2022-02-11,West,Fri,0,2464
TS-000043,2022-02-12,North,Sat,0,2036
TS-000044,2022-02-13,South,Sun,0,3170
TS-000045,2022-02-14,West,Mon,0,5347
