RecordId,Timestamp,Region,DayOfWeek,IsHoliday,EnergyDemandKwh
TS-000001,2022-01-01,South,Sat,1,14403
TS-000002,2022-01-02,North,Sun,0,15681
TS-000003,2022-01-03,West,Mon,0,17798
TS-000004,2022-01-04,North,Tue,0,16684
TS-000005,2022-01-05,North,Wed,0,16281
TS-000006,2022-01-06,West,Thu,0,16849
TS-000007,2022-01-07,Central,Fri,0,16815
TS-000008,2022-01-08,North,Sat,0,17541
TS-000009,2022-01-09,Central,Sun,0,17792
TS-000010,2022-01-10,East,Mon,0,17325
TS-000011,2022-01-11,Central,Tue,0,18056
TS-000012,2022-01-12,West,Wed,0,18767
TS-000013,2022-01-13,North,Thu,0,17711
TS-000014,2022-01-14,East,Fri,0,19757
TS-000015,2022-01-15,South,Sat,0,19298
TS-000016,2022-01-16,East,Sun,0,17775
TS-000017,2022-01-17,Central,Mon,0,19249
TS-000018,2022-01-18,West,Tue,0,17868
TS-000019,2022-01-19,Central,Wed,0,17951
TS-000020,2022-01-20,Central,Thu,0,17388
TS-000021,2022-01-21,South,Fri,0,19399
TS-000022,2022-01-22,West,Sat,0,18794
TS-000023,2022-01-23,West,Sun,0,18494
TS-000024,2022-01-24,West,Mon,0,18015
TS-000025,2022-01-25,Central,Tue,0,18278
TS-000026,2022-01-26,West,Wed,0,17156
TS-000027,2022-01-27,West,Thu,0,18013
TS-000028,2022-01-28,South,Fri,0,20068
TS-000029,2022-01-29,West,Sat,0,18537
TS-000030,2022-01-30,South,Sun,0,17025
TS-000031,2022-01-31,South,Mon,1,13297
TS-000032,2022-02-01,Central,Tue,0,16667
TS-000033,2022-02-02,East,Wed,0,17450
TS-000034,2022-02-03,Central,Thu,0,14896
TS-000035,2022-02-04,West,Fri,0,14992
TS-000036,2022-02-05,East,Sat,0,15678
TS-000037,2022-02-06,West,Sun,0,16552
TS-000038,2022-02-07,North,Mon,0,14267
TS-000039,2022-02-08,South,Tue,0,16546
TS-000040,2022-02-09,South,Wed,0,16386
TS-000041,2022-02-10,Central,Thu,0,16128
TS-000042,2022-02-11,West,Fri,0,15110
TS-000043,2022-02-12,Central,Sat,0,14504
TS-000044,2022-02-13,West,Sun,0,14798
TS-000045,2022-02-14,East,Mon,0,15346
TS-000046,2022-02-15,Central,Tue,0,15127
TS-000047,2022-02-16,South,Wed,0,14192
TS-000048,2022-02-17,East,Thu,0,14988
TS-000049,2022-02-18,Central,Fri,0,14649
TS-000050,2022-02-19,North,Sat,0,14729
TS-000051,2022-02-20,North,Sun,0,15685
TS-000052,2022-02-21,South,Mon,0,13703
TS-000053,2022-02-22,West,Tue,0,14206
TS-000054,2022-02-23,North,Wed,0,15338
TS-000055,2022-02-24,Central,Thu,0,16336
TS-000056,2022-02-25,North,Fri,0,15448
TS-000057,2022-02-26,East,Sat,0,16162
TS-000058,2022-02-27,East,Sun,0,15171
TS-000059,2022-02-28,West,Mon,0,16470
TS-000060,2022-03-01,South,Tue,0,16775
TS-000061,2022-03-02,South,Wed,0,17319
TS-000062,2022-03-03,South,Thu,0,18027
TS-000063,2022-03-04,West,Fri,0,18684
TS-000064,2022-03-05,Central,Sat,0,18530
TS-000065,2022-03-06,South,Sun,0,16562
TS-000066,2022-03-07,West,Mon,0,16746
TS-000067,2022-03-08,North,Tue,0,18005
TS-000068,2022-03-09,East,Wed,0,18236
TS-000069,2022-03-10,South,Thu,0,19079
TS-000070,2022-03-11,South,Fri,0,17896
TS-000071,2022-03-12,West,Sat,0,18968
TS-000072,2022-03-13,Central,Sun,0,18942
TS-000073,2022-03-14,Central,Mon,0,19123
TS-000074,2022-03-15,West,Tue,0,20063
TS-000075,2022-03-16,South,Wed,0,19189
TS-000076,2022-03-17,South,Thu,0,19145
TS-000077,2022-03-18,South,Fri,0,17809
TS-000078,2022-03-19,West,Sat,0,18875
TS-000079,2022-03-20,South,Sun,0,18707
TS-000080,2022-03-21,West,Mon,0,19846
TS-000081,2022-03-22,East,Tue,0,17692
TS-000082,2022-03-23,East,Wed,0,17988
TS-000083,2022-03-24,Central,Thu,0,18815
TS-000084,2022-03-25,South,Fri,0,19312
TS-000085,2022-03-26,Central,Sat,0,17178
TS-000086,2022-03-27,South,Sun,0,18657
TS-000087,2022-03-28,East,Mon,0,17513
TS-000088,2022-03-29,South,Tue,0,18391
TS-000089,2022-03-30,North,Wed,0,17063
TS-000090,2022-03-31,Central,Thu,0,17573
TS-000091,2022-04-01,North,Fri,0,16933
TS-000092,2022-04-02,South,Sat,0,17107
TS-000093,2022-04-03,North,Sun,0,17025
TS-000094,2022-04-04,South,Mon,0,15752
TS-000095,2022-04-05,Central,Tue,0,14752
TS-000096,2022-04-06,East,Wed,0,16251
TS-000097,2022-04-07,North,Thu,0,17158
TS-000098,2022-04-08,North,Fri,0,15581
TS-000099,2022-04-09,North,Sat,0,14771
TS-000100,2022-04-10,North,Sun,0,14591
TS-000101,2022-04-11,West,Mon,0,15016
TS-000102,2022-04-12,South,Tue,0,14844
TS-000103,2022-04-13,Central,Wed,0,15216
TS-000104,2022-04-14,South,Thu,0,13773
TS-000105,2022-04-15,East,Fri,0,15118
TS-000106,2022-04-16,South,Sat,0,15249
TS-000107,2022-04-17,South,Sun,0,14886
TS-000108,2022-04-18,Central,Mon,0,15407
TS-000109,2022-04-19,East,Tue,0,16741
TS-000110,2022-04-20,West,Wed,0,14737
TS-000111,2022-04-21,North,Thu,0,15907
