RecordId,Timestamp,Region,DayOfWeek,IsHoliday,OccupiedBeds
TS-000001,2022-01-01,East,Sat,0,958
TS-000002,2022-01-02,North,Sun,0,850
TS-000003,2022-01-03,North,Mon,0,836
TS-000004,2022-01-04,South,Tue,0,943
TS-000005,2022-01-05,South,Wed,0,913
TS-000006,2022-01-06,South,Thu,0,910
TS-000007,2022-01-07,North,Fri,0,1018
TS-000008,2022-01-08,North,Sat,1,1105
TS-000009,2022-01-09,East,Sun,0,987
TS-000010,2022-01-10,East,Mon,0,931
TS-000011,2022-01-11,North,Tue,0,1081
TS-000012,2022-01-12,East,Wed,0,983
TS-000013,2022-01-13,East,Thu,0,952
TS-000014,2022-01-14,West,Fri,0,776
TS-000015,2022-01-15,North,Sat,0,1013
TS-000016,2022-01-16,Central,Sun,0,1055
TS-000017,2022-01-17,East,Mon,0,1101
TS-000018,2022-01-18,West,Tue,0,980
TS-000019,2022-01-19,North,Wed,0,1033
TS-000020,2022-01-20,West,Thu,0,1044
TS-000021,2022-01-21,Central,Fri,0,1006
TS-000022,2022-01-22,West,Sat,0,1102
TS-000023,2022-01-23,Central,Sun,0,999
TS-000024,2022-01-24,South,Mon,0,1130
TS-000025,2022-01-25,Central,Tue,0,960
TS-000026,2022-01-26,West,Wed,0,994
TS-000027,2022-01-27,South,Thu,0,940
TS-000028,2022-01-28,East,Fri,0,976
TS-000029,2022-01-29,West,Sat,0,835
TS-000030,2022-01-30,North,Sun,0,878
TS-000031,2022-01-31,North,Mon,0,863
TS-000032,2022-02-01,West,Tue,0,979
TS-000033,2022-02-02,Central,Wed,0,884
TS-000034,2022-02-03,West,Thu,0,664
TS-000035,2022-02-04,Central,Fri,0,849
TS-000036,2022-02-05,Central,Sat,0,823
TS-000037,2022-02-06,South,Sun,0,784
TS-000038,2022-02-07,North,Mon,0,794
TS-000039,2022-02-08,South,Tue,0,775
TS-000040,2022-02-09,East,Wed,0,852
TS-000041,2022-02-10,North,Thu,0,630
TS-000042,2022-02-11,Central,Fri,0,654
TS-000043,2022-02-12,North,Sat,0,907
TS-000044,2022-02-13,South,Sun,0,806
TS-000045,2022-02-14,Central,Mon,0,689
TS-000046,2022-02-15,West,Tue,0,712
TS-000047,2022-02-16,South,Wed,0,786
TS-000048,2022-02-17,South,Thu,0,588
TS-000049,2022-02-18,South,Fri,0,606
TS-000050,2022-02-19,East,Sat,0,736
TS-000051,2022-02-20,North,Sun,0,909
TS-000052,2022-02-21,West,Mon,0,794
TS-000053,2022-02-22,Central,Tue,0,734
TS-000054,2022-02-23,West,Wed,0,836
TS-000055,2022-02-24,North,Thu,0,1004
TS-000056,2022-02-25,North,Fri,0,864
TS-000057,2022-02-26,South,Sat,0,910
TS-000058,2022-02-27,North,Sun,1,966
TS-000059,2022-02-28,North,Mon,0,859
TS-000060,2022-03-01,West,Tue,0,914
TS-000061,2022-03-02,North,Wed,0,986
TS-000062,2022-03-03,East,Thu,1,951
TS-000063,2022-03-04,South,Fri,0,1059
TS-000064,2022-03-05,East,Sat,0,977
TS-000065,2022-03-06,South,Sun,0,966
TS-000066,2022-03-07,Central,Mon,0,928
TS-000067,2022-03-08,South,Tue,0,987
TS-000068,2022-03-09,West,Wed,0,1024
TS-000069,2022-03-10,Central,Thu,0,972
TS-000070,2022-03-11,East,Fri,0,1026
TS-000071,2022-03-12,Central,Sat,0,1107
TS-000072,2022-03-13,South,Sun,0,874
TS-000073,2022-03-14,North,Mon,1,1113
TS-000074,2022-03-15,North,Tue,0,1047
TS-000075,2022-03-16,Central,Wed,0,1190
TS-000076,2022-03-17,North,Thu,0,1098
TS-000077,2022-03-18,West,Fri,0,1025
TS-000078,2022-03-19,South,Sat,0,1067
TS-000079,2022-03-20,South,Sun,0,989
TS-000080,2022-03-21,East,Mon,0,1026
TS-000081,2022-03-22,North,Tue,0,997
TS-000082,2022-03-23,South,Wed,0,1004
TS-000083,2022-03-24,North,Thu,0,1076
TS-000084,2022-03-25,East,Fri,0,1074
TS-000085,2022-03-26,East,Sat,0,921
TS-000086,2022-03-27,South,Sun,0,980
TS-000087,2022-03-28,Central,Mon,0,905
TS-000088,2022-03-29,Central,Tue,0,953
TS-000089,2022-03-30,Central,Wed,0,938
TS-000090,2022-03-31,North,Thu,0,903
TS-000091,2022-04-01,East,Fri,0,896
TS-000092,2022-04-02,South,Sat,0,864
TS-000093,2022-04-03,North,Sun,0,820
