RecordId,Timestamp,Region,DayOfWeek,IsHoliday,DailySalesAmount
TS-000001,2022-01-01,Central,Sat,0,18721
TS-000002,2022-01-02,South,Sun,0,19236
TS-000003,2022-01-03,North,Mon,0,15954
TS-000004,2022-01-04,East,Tue,0,15826
TS-000005,2022-01-05,West,Wed,0,17546
TS-000006,2022-01-06,South,Thu,0,16903
TS-000007,2022-01-07,West,Fri,0,16542
TS-000008,2022-01-08,Central,Sat,0,19926
TS-000009,2022-01-09,West,Sun,0,20007
TS-000010,2022-01-10,West,Mon,0,17071
TS-000011,2022-01-11,East,Tue,0,16548
TS-000012,2022-01-12,South,Wed,0,16039
TS-000013,2022-01-13,West,Thu,0,18078
TS-000014,2022-01-14,Central,Fri,0,17965
TS-000015,2022-01-15,Central,Sat,0,21170
TS-000016,2022-01-16,North,Sun,0,20972
TS-000017,2022-01-17,South,Mon,0,18570
TS-000018,2022-01-18,East,Tue,0,16543
TS-000019,2022-01-19,North,Wed,0,17682
TS-000020,2022-01-20,North,Thu,0,18871
TS-000021,2022-01-21,East,Fri,0,15746
TS-000022,2022-01-22,East,Sat,0,20276
TS-000023,2022-01-23,East,Sun,0,20155
TS-000024,2022-01-24,North,Mon,0,17271
TS-000025,2022-01-25,West,Tue,0,16514
TS-000026,2022-01-26,North,Wed,0,17111
TS-000027,2022-01-27,Central,Thu,0,15665
TS-000028,2022-01-28,West,Fri,0,16761
TS-000029,2022-01-29,West,Sat,0,19853
TS-000030,2022-01-30,South,Sun,0,19388
TS-000031,2022-01-31,North,Mon,0,16215
TS-000032,2022-02-01,West,Tue,0,15463
TS-000033,2022-02-02,North,Wed,0,15624
TS-000034,2022-02-03,South,Thu,0,16556
TS-000035,2022-02-04,North,Fri,1,15161
TS-000036,2022-02-05,East,Sat,0,16549
TS-000037,2022-02-06,North,Sun,0,18611
TS-000038,2022-02-07,West,Mon,0,13860
TS-000039,2022-02-08,West,Tue,0,15099
TS-000040,2022-02-09,Central,Wed,0,14311
TS-000041,2022-02-10,North,Thu,0,15665
TS-000042,2022-02-11,North,Fri,0,15161
TS-000043,2022-02-12,West,Sat,0,15733
TS-000044,2022-02-13,North,Sun,0,18612
TS-000045,2022-02-14,North,Mon,0,14550
TS-000046,2022-02-15,North,Tue,0,14917
TS-000047,2022-02-16,East,Wed,0,12643
TS-000048,2022-02-17,East,Thu,0,14786
TS-000049,2022-02-18,West,Fri,0,14694
TS-000050,2022-02-19,Central,Sat,0,17431
TS-000051,2022-02-20,South,Sun,0,15270
TS-000052,2022-02-21,North,Mon,0,15250
TS-000053,2022-02-22,Central,Tue,0,13319
TS-000054,2022-02-23,North,Wed,0,14536
TS-000055,2022-02-24,North,Thu,0,15729
TS-000056,2022-02-25,West,Fri,0,15169
TS-000057,2022-02-26,Central,Sat,0,17853
TS-000058,2022-02-27,Central,Sun,0,18293
TS-000059,2022-02-28,West,Mon,0,16145
TS-000060,2022-03-01,East,Tue,1,15740
TS-000061,2022-03-02,East,Wed,0,17058
TS-000062,2022-03-03,West,Thu,0,16124
TS-000063,2022-03-04,North,Fri,0,16906
TS-000064,2022-03-05,East,Sat,0,20426
TS-000065,2022-03-06,East,Sun,0,19059
TS-000066,2022-03-07,West,Mon,0,17713
TS-000067,2022-03-08,East,Tue,0,16299
TS-000068,2022-03-09,South,Wed,0,17377
TS-000069,2022-03-10,East,Thu,0,18614
TS-000070,2022-03-11,North,Fri,0,18016
TS-000071,2022-03-12,South,Sat,0,21016
TS-000072,2022-03-13,Central,Sun,0,20817
TS-000073,2022-03-14,West,Mon,0,17424
TS-000074,2022-03-15,Central,Tue,0,16724
TS-000075,2022-03-16,East,Wed,0,16882
TS-000076,2022-03-17,East,Thu,0,17298
TS-000077,2022-03-18,South,Fri,0,17637
TS-000078,2022-03-19,South,Sat,0,20110
TS-000079,2022-03-20,West,Sun,0,21715
TS-000080,2022-03-21,North,Mon,0,19111
TS-000081,2022-03-22,Central,Tue,0,18065
TS-000082,2022-03-23,Central,Wed,0,17204
TS-000083,2022-03-24,East,Thu,1,17214
TS-000084,2022-03-25,West,Fri,0,17140
TS-000085,2022-03-26,West,Sat,0,20300
TS-000086,2022-03-27,East,Sun,0,18719
TS-000087,2022-03-28,South,Mon,0,16454
TS-000088,2022-03-29,South,Tue,0,16682
TS-000089,2022-03-30,South,Wed,0,16441
TS-000090,2022-03-31,West,Thu,0,16765
TS-000091,2022-04-01,North,Fri,0,15183
TS-000092,2022-04-02,East,Sat,0,17956
TS-000093,2022-04-03,West,Sun,0,19514
TS-000094,2022-04-04,East,Mon,0,13958
TS-000095,2022-04-05,South,Tue,0,16349
TS-000096,2022-04-06,South,Wed,0,14772
TS-000097,2022-04-07,East,Thu,0,16625
TS-000098,2022-04-08,South,Fri,0,13942
TS-000099,2022-04-09,East,Sat,0,17950
TS-000100,2022-04-10,East,Sun,0,18569
TS-000101,2022-04-11,North,Mon,0,17316
TS-000102,2022-04-12,East,Tue,0,14117
TS-000103,2022-04-13,Central,Wed,0,14514
TS-000104,2022-04-14,Central,Thu,0,14231
TS-000105,2022-04-15,Central,Fri,0,14225
TS-000106,2022-04-16,North,Sat,0,18170
TS-000107,2022-04-17,West,Sun,0,17458
TS-000108,2022-04-18,East,Mon,0,14213
TS-000109,2022-04-19,West,Tue,0,14061
TS-000110,2022-04-20,East,Wed,0,15424
TS-000111,2022-04-21,Central,Thu,0,15459
TS-000112,2022-04-22,East,Fri,0,16467
TS-000113,2022-04-23,South,Sat,0,18463
TS-000114,2022-04-24,North,Sun,0,19201
TS-000115,2022-04-25,East,Mon,0,15533
TS-000116,2022-04-26,East,Tue,0,14455
TS-000117,2022-04-27,South,Wed,0,14355
TS-000118,2022-04-28,West,Thu,0,15661
TS-000119,2022-04-29,South,Fri,0,17305
TS-000120,2022-04-30,West,Sat,0,18913
TS-000121,2022-05-01,West,Sun,0,19852
TS-000122,2022-05-02,South,Mon,0,16003
TS-000123,2022-05-03,South,Tue,0,18116
TS-000124,2022-05-04,West,Wed,0,18066
TS-000125,2022-05-05,East,Thu,0,15849
TS-000126,2022-05-06,Central,Fri,0,15905
TS-000127,2022-05-07,East,Sat,0,20011
TS-000128,2022-05-08,Central,Sun,0,18844
TS-000129,2022-05-09,Central,Mon,0,16539
TS-000130,2022-05-10,Central,Tue,0,17411
TS-000131,2022-05-11,Central,Wed,0,16929
TS-000132,2022-05-12,North,Thu,0,18680
TS-000133,2022-05-13,South,Fri,0,18052
TS-000134,2022-05-14,West,Sat,0,19900
TS-000135,2022-05-15,East,Sun,0,19737
TS-000136,2022-05-16,West,Mon,0,18098
TS-000137,2022-05-17,South,Tue,0,19328
TS-000138,2022-05-18,Central,Wed,0,17868
TS-000139,2022-05-19,West,Thu,0,17061
TS-000140,2022-05-20,South,Fri,0,16919
TS-000141,2022-05-21,Central,Sat,0,20767
TS-000142,2022-05-22,East,Sun,0,20970
TS-000143,2022-05-23,North,Mon,0,17482
TS-000144,2022-05-24,South,Tue,0,17488
TS-000145,2022-05-25,West,Wed,0,17372
TS-000146,2022-05-26,East,Thu,0,16167
TS-000147,2022-05-27,Central,Fri,0,16327
TS-000148,2022-05-28,North,Sat,0,20598
TS-000149,2022-05-29,South,Sun,0,19640
TS-000150,2022-05-30,East,Mon,0,16431
TS-000151,2022-05-31,East,Tue,0,17724
TS-000152,2022-06-01,West,Wed,0,16319
TS-000153,2022-06-02,South,Thu,0,15472
TS-000154,2022-06-03,Central,Fri,0,15509
TS-000155,2022-06-04,North,Sat,0,19499
TS-000156,2022-06-05,Central,Sun,0,18432
TS-000157,2022-06-06,East,Mon,0,15675
TS-000158,2022-06-07,East,Tue,0,15897
TS-000159,2022-06-08,West,Wed,0,14949
TS-000160,2022-06-09,South,Thu,0,16058
TS-000161,2022-06-10,East,Fri,0,13612
TS-000162,2022-06-11,North,Sat,0,18773
TS-000163,2022-06-12,East,Sun,0,17322
TS-000164,2022-06-13,West,Mon,0,15398
TS-000165,2022-06-14,Central,Tue,0,14223
TS-000166,2022-06-15,East,Wed,0,14260
TS-000167,2022-06-16,Central,Thu,0,14032
TS-000168,2022-06-17,North,Fri,0,14399
TS-000169,2022-06-18,North,Sat,0,18653
TS-000170,2022-06-19,East,Sun,0,17772
TS-000171,2022-06-20,North,Mon,0,12993
TS-000172,2022-06-21,East,Tue,1,15480
TS-000173,2022-06-22,East,Wed,0,13863
TS-000174,2022-06-23,North,Thu,0,16207
TS-000175,2022-06-24,Central,Fri,0,13786
TS-000176,2022-06-25,West,Sat,1,19682
TS-000177,2022-06-26,South,Sun,0,19912
TS-000178,2022-06-27,South,Mon,0,16804
TS-000179,2022-06-28,South,Tue,0,14534
TS-000180,2022-06-29,South,Wed,0,17156
TS-000181,2022-06-30,North,Thu,0,15967
TS-000182,2022-07-01,South,Fri,0,15440
TS-000183,2022-07-02,South,Sat,0,18708
TS-000184,2022-07-03,South,Sun,0,20891
TS-000185,2022-07-04,North,Mon,0,16337
TS-000186,2022-07-05,West,Tue,0,16847
TS-000187,2022-07-06,Central,Wed,0,17780
TS-000188,2022-07-07,North,Thu,0,18118
TS-000189,2022-07-08,West,Fri,0,16897
TS-000190,2022-07-09,South,Sat,0,21547
TS-000191,2022-07-10,West,Sun,0,21212
TS-000192,2022-07-11,West,Mon,0,17581
TS-000193,2022-07-12,East,Tue,0,18711
TS-000194,2022-07-13,East,Wed,0,18065
