RecordId,Timestamp,Region,DayOfWeek,IsHoliday,ClosePrice
TS-000001,2022-01-01,North,Sat,0,144
TS-000002,2022-01-02,East,Sun,0,182
TS-000003,2022-01-03,East,Mon,0,197
TS-000004,2022-01-04,North,Tue,0,216
TS-000005,2022-01-05,South,Wed,0,204
TS-000006,2022-01-06,South,Thu,0,188
TS-000007,2022-01-07,East,Fri,0,177
TS-000008,2022-01-08,North,Sat,0,135
TS-000009,2022-01-09,South,Sun,0,175
TS-000010,2022-01-10,Central,Mon,0,215
TS-000011,2022-01-11,North,Tue,0,182
TS-000012,2022-01-12,East,Wed,0,182
TS-000013,2022-01-13,Central,Thu,0,179
TS-000014,2022-01-14,North,Fri,0,191
TS-000015,2022-01-15,South,Sat,0,165
TS-000016,2022-01-16,Central,Sun,0,170
TS-000017,2022-01-17,Central,Mon,0,124
TS-000018,2022-01-18,South,Tue,0,156
TS-000019,2022-01-19,East,Wed,0,128
TS-000020,2022-01-20,South,Thu,0,165
TS-000021,2022-01-21,East,Fri,1,255
TS-000022,2022-01-22,North,Sat,0,207
TS-000023,2022-01-23,Central,Sun,0,172
TS-000024,2022-01-24,West,Mon,0,145
TS-000025,2022-01-25,North,Tue,0,144
TS-000026,2022-01-26,South,Wed,0,206
TS-000027,2022-01-27,Central,Thu,0,188
TS-000028,2022-01-28,North,Fri,0,146
TS-000029,2022-01-29,Central,Sat,0,160
TS-000030,2022-01-30,South,Sun,0,148
TS-000031,2022-01-31,West,Mon,0,173
TS-000032,2022-02-01,West,Tue,0,122
TS-000033,2022-02-02,South,Wed,0,126
TS-000034,2022-02-03,Central,Thu,0,135
TS-000035,2022-02-04,West,Fri,0,161
TS-000036,2022-02-05,West,Sat,0,122
TS-000037,2022-02-06,Central,Sun,0,124
TS-000038,2022-02-07,North,Mon,0,105
TS-000039,2022-02-08,South,Tue,0,93
TS-000040,2022-02-09,West,Wed,0,130
TS-000041,2022-02-10,South,Thu,0,66
TS-000042,2022-02-11,South,Fri,0,116
TS-000043,2022-02-12,North,Sat,0,133
TS-000044,2022-02-13,North,Sun,0,135
TS-000045,2022-02-14,East,Mon,0,97
TS-000046,2022-02-15,South,Tue,0,156
TS-000047,2022-02-16,South,Wed,1,115
